On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
156	PLUT. adv. Colot. 4 p. 1108F ἐγκαλεῖ δ’ αὐτῶι πρῶτον, ὅτι τῶν πραγμάτων ἕκαστον εἰπὼν οὐ μᾶλλον τοῖον ἢ τοῖον εἶναι συγκέχυκε τὸν βίον ἀλλὰ τοσοῦτόν γε Δ. ἀποδεῖ τοῦ νομίζειν μὴ μᾶλλον εἶναι τοῖον ἢ τοῖον τῶν πραγμάτων ἕκαστον, ὥστε Πρωταγόραι τῶι σοφιστῆι τοῦτο εἰπόντι μεμαχῆσθαι καὶ γεγραφέναι πολλὰ καὶ πιθανὰ πρὸς αὐτόν· οἷς οὐδ’ ὄναρ ἐντυχὼν ὁ Κωλώτης ἐσφάλη περὶ λέξιν τοῦ ἀνδρός, ἐν ἧι διορίζεται μὴ μᾶλλον τὸ δὲν ἢ τὸ μηδὲν εἶνα ι, δὲν μὲν ὀνομάζων τὸ σῶμα, μηδὲν δὲ τὸ κενόν, ὡς καὶ τούτου φύσιν τινὰ καὶ ὑπόστασιν ἰδίαν ἔχοντος.
157	— —32 p. 1126A ἐμοὶ δὲ περὶ τούτων οἱ οἰκονομικῶς καὶ πολιτικῶς βεβιωκότες ἐγκαλείτωσαν; εἰσὶ δ’ οὗτοι πάντες οἷς Κωλώτης λελοιδόρηκεν. ὧν Δ. μὲν παραινεῖ τήν τε πολιτικὴν τέχνην μεγίστην οὖσαν ἐκδιδάσκεσθαι καὶ τοὺς πόνους διώκει ν , ἀ φ ’ ὧν τὰ μεγάλα καὶ λαμπρὰ γίνονται τοῖς ἀνθρώποι ς. Vgl. 1100C ... ἀρχὰς ἢ πολιτείας καὶ φιλίας βασιλέων, ἀφ’ ὧν τὰ μεγάλα καὶ λαμπρὰ (?) εἰς τὸν βίον γίνεσθαι ἔφη Δ.
158	—de lat. viv. 5 p. 1129E ὁ ἥλιος ἀνασχών ... συνώρμησε τῶι φωτὶ τὰς πράξεις καὶ τὰς νοήσεις τὰς ἁπάντων, ὥς φησι Δ. νέα ἐ φ ’ ἡμέρηι φρονέοντες ἄνθρωποι τῆι πρὸς ἀλλήλους ὁρμῆι καθάπερ ἀρτήματι συντόνωι σπασθέντες ἄλλος ἀλλαχόθεν ἐπὶ τὰς πράξεις ἀνίστανται.
159	—fragm. de libid. et aegr. 2 ἔοικε παλαιά τις αὕτη τῶι σώματι διαδικασία πρὸς τὴν ψυχὴν περὶ τῶν παθῶν εἶναι. καὶ Δ. μὲν ἐπὶ τὴν ψυχὴν ἀναφέρων 〈τὴν αἰτίαν τῆσ〉 κακοδαιμον〈ίασ〉 φησίν· ‘ εἰ τοῦ σώματος αὐτῆι δίκην λαχόντο ς , παρὰ πάντα τὸν βίον ὧν ὠδύνηται 〈καὶ〉 κακῶς πέπονθε ν , αὐτὸς γένοιτο τοῦ ἐγκλήματος δι〈καστήσ 〉 , ἡδέως ἂν καταψηφίσασθαι τῆς ψυχῆ ς , ἐ φ ’ οἷς τὰ μὲν ἀπώλεσε τοῦ σώματος ταῖς ἀμελείαις καὶ ἐξέλυσε ταῖς μέθαι ς , τὰ δὲ κατέφθειρε καὶ διέσπασε ταῖς φιληδονίαι ς , ὥσπερ ὀργάνου τινὸς ἢ σκεύους κακῶς ἔχοντος τὸν χρώμενον ἀφειδῶς αἰτιασάμενοσ ‘. Vgl. de sanit. praec. 24 p. 135E ἐπηρεάζοντες ἑτέροις ἢ φθονοῦντες ἢ φιλονικοῦντες ἢ δόξας ἀκάρπους καὶ κενὰς διώκοντες. πρὸς τούτους γὰρ οἶμαι μάλιστα τὸν Δημόκριτον εἰπεῖν, ὡς εἰ τὸ σῶμα δικάσαιτο τῆι ψυχῆι κακώσεως, οὐκ ἂν αὐτὴν ἀποφυγεῖν.
160	PORPHYR. de abst. IV 21 τὸ γὰρ κακῶς ζῆν καὶ μὴ φρονίμως καὶ σωφρόνως καὶ ὁσίως Δ. ἔλεγεν οὐ κακῶς ζῆν εἶναι, ἀλλὰ πολὺν χρόνον ἀποθνήισκει ν.
161	SCHOL. in APOLL. RHOD. Γ 533 τὸ παλαιὸν ὤιοντο τὰς φαρμακίδας τὴν σελήνην καὶ τὸν ἥλιον καθαιρεῖν. διὸ καὶ μέχρι τῶν Δημοκρίτου χρόνων πολλοὶ τὰς ἐκλείψεις καθαιρέσεις ἐκάλουν.
162	—in HOM. AB zu N 137 Δ. δὲ τὸ κυλινδρικὸν σχῆμα ὀλοοίτροχον καλεῖ.
163	SEXT. adv. math. VII 53 Ξενιάδης δὲ ὁ Κορίνθιος, οὗ καὶ Δ. μέμνηται.
164	—VII 116 παλαιὰ ... δόξα περὶ τοῦ τὰ ὅμοια τῶν ὁμοίων εἶναι γνωριστικά ... (117) ἀλλ’ ὁ μὲν Δ. ἐπί τε τῶν ἐμψύχων καὶ ἀψύχων ἵστησι τὸν λόγον. ‘ καὶ γὰρ ζῶι α, φησίν, ὁμογενέσι ζώιοις συναγελάζεται ὡς περιστεραὶ περιστεραῖς καὶ γέρανοι γεράνοις καὶ ἐπὶ τῶν ἄλλων ἀλόγων ὡσαύτω ς . 〈ὣσ〉 δὲ καὶ ἐπὶ τῶν ἀψύχω ν , καθάπερ ὁρᾶν πάρεστιν ἐπί τε τῶν κοσκινευομένων σπερμάτων καὶ ἐπὶ τῶν παρὰ ταῖς κυματωγαῖς ψηφίδω ν · ὅπου μὲν γὰρ κατὰ τὸν τοῦ κοσκίνου δῖνον διακριτικῶς φακοὶ μετὰ φακῶν τάσσονται καὶ κριθαὶ μετὰ κριθῶν καὶ πυροὶ μετὰ πυρῶ ν , ὅπου δὲ κατὰ τὴν τοῦ κύματος κίνησιν αἱ μὲν ἐπιμήκεις ψηφῖδες εἰς τὸν αὐτὸν τόπον ταῖς ἐπιμήκεσιν ὠθοῦντα ι , αἱ δὲ περιφερεῖς ταῖς περιφερέσιν ὡς ἂν συναγωγόν τι ἐχούσης τῶν πραγμάτων τῆς ἐν τούτοις ὁμοιότητοσ ‘. ἀλλ’ ὁ μὲν Δημόκριτος οὕτως.
165	—VII 265 Δ. δὲ ὁ τῆι Διὸς φωνῆι παρεικαζόμενος καὶ λέγων τάδε περὶ τῶν ξυμπάντων ἐπεχείρησε μὲν τὴν ἐπίνοιαν ἐκθέσθαι, πλεῖον δὲ ἰδιωτικῆς ἀποφάσεως οὐδὲν ἴσχυσεν εἰπών· ‘ ἄνθρωπός ἐστιν ὃ πάντες ἴδμεν ‘. CIC. Ac. pr. II 23, 73 quid loquar de Democrito? quem cum eo conferre possumus non modo ingenii magnitudine, sed etiam animi? qui ita sit ausus ordiri ‘ haec loquor de universis ‘. nihil excipit de quo non profiteatur, quid enim esse potest extra universa? ... atque is non hoc dicit quod nos qui veri esse aliquid non negamus, percipi posse negamus: ille esse verum plane negat sensusque idem non obscuros dicit, sed tenebricoso s: sic enim appellat eos. Vgl. ARISTOT. de partt. anim. Α 1. 640b 29 εἰ μὲν οὖν τῶι σχήματι καὶ τῶι χρώματι ἕκαστον ἔστι τῶν τε ζώιων καὶ τῶν μορίων, ὀρθῶς ἂν Δ. λέγοι· φαίνεται γὰρ οὕτως ὑπολαβεῖν. φησὶ γοῦν παντὶ δῆλον εἶναι οἷόν τι τὴν μορφήν ἐστιν ὁ ἄνθρωπος, ὡς ὄντος αὐτοῦ τῶι τε σχήματι καὶ τῶι χρώματι γνωρίμου. καίτοι καὶ ὁ τεθνεὼς ἔχει τὴν αὐτὴν τοῦ σχήματος μορφήν, ἀλλ’ ὅμως οὐκ ἔστιν ἄνθρωπος. EPICUR. fr. 310 [Sext. VII 267] ἄνθρωπός ἐστι τοιουτονὶ μόρφωμα μετ’ ἐμψυχίας. λέγω τάδε περὶ τῶν ξυμπάντω ν . —ἄνθρωπός ἐστιν ὃ πάντες ἴδμεν ...
166	SEXT. adv. math. IX 19 Δ. δὲ εἴδωλά τινά φησιν ἐμπελάζειν τοῖς ἀνθρώποις καὶ τούτων τὰ μὲν εἶναι ἀγαθοποιὰ τὰ δὲ κακοποιά· ἔνθεν καὶ εὔχετο εὐλόγχων τυχεῖν εἰδώλω ν. εἶναι δὲ ταῦτα μεγάλα τε καὶ ὑπερφυῆ καὶ δύσφθαρτα μέν, οὐκ ἄφθαρτα δέ, προσημαίνειν τε τὰ μέλλοντα τοῖς ἀνθρώποις θεωρούμενα καὶ φωνὰς ἀφιέντα. ὅθεν τούτων αὐτῶν φαντασίαν λαβόντες οἱ παλαιοὶ ὑπενόησαν εἶναι θεόν, μηδενὸς ἄλλου παρὰ ταῦτα ὄντος θεοῦ [τοῦ] ἄφθαρτον φύσιν ἔχοντος.
167	SIMPL. Phys. 327, 24 δῖνον ἀπὸ τοῦ παντὸς ἀποκριθῆναι παντοίων ἰδεῶ ν.
168	— —1318, 34 ταῦτα γὰρ ἐκεῖνοι φύσιν ἐκάλουν ... περιπαλάσσεσθαι γὰρ ἔλεγον αὐτά.
169	STOBAEUS II (Ecl. eth.) 1, 12 Wachsm. Δ—ου. μὴ πάντα ἐπίστασθαι προθυμέ ο , μὴ πάντων ἀμαθὴς γένη ι.
170	—7, 3i εὐδαιμονίη ψυχῆς καὶ κακοδαιμονί η.
171	— — εὐδαιμονίη οὐκ ἐν βοσκήμασιν οἰκεῖ οὐδὲ ἐν χρυσῶ ι · ψυχὴ οἰκητήριον δαίμονο ς.
172	—9, 1 Δ—ου. ἀφ’ ὧν ἡμῖν τἀγαθὰ γίγνεται, ἀπὸ τῶν αὐτῶν τούτων καὶ τὰ κακὰ ἐπαυρισκοίμεθ’ ἄν, τῶν δὲ κακῶν ἐκτὸς εἴημεν. αὐτίκα ὕδωρ βαθὺ εἰς πολλὰ χρήσιμον καὶ δαὖτε κακόν· κίνδυνος γὰρ ἀποπνιγῆναι. μηχανὴ οὖν εὑρέθη, νήχεσθαι διδάσκειν.
173	— —2 τοῦ αὐτοῦ. ἀνθρώποισι κακὰ ἐξ ἀγαθῶν φύετα ι , ἐπήν τις τἀγαθὰ μὴ ’πιστῆται ποδηγετεῖν μηδὲ ὀχεῖν εὐπόρω ς . οὐ δίκαιον ἐν κακοῖσι τὰ τοιάδε κρίνει ν , ἀλ λ ’ ἐν ἀγαθοῖσιν ὦ ν · τοῖς τε ἀγαθοῖσιν οἷόν τε χρῆσθαι καὶ πρὸς τὰ κακ ά , εἴ τινι βουλομένω ι , ἀλκῆ ι.
174	— —3 ὁ μὲν εὔθυμος εἰς ἔργα ἐπιφερόμενος δίκαια καὶ νόμιμα καὶ ὕπαρ καὶ ὄναρ χαίρει τε καὶ ἔρρωται καὶ ἀνακηδής ἐστι ν · ὃς δ ’ ἂν καὶ δίκης ἀλογῆι καὶ τὰ χρὴ ἐόντα μὴ ἔρδη ι , τούτωι πάντα τὰ τοιαῦτα ἀτερπεί η , ὅταν τευ ἀναμνησθῆ ι , καὶ δέδοικε καὶ ἑωυτὸν κακίζε ι.
175	STOBAEUS II 9, 4 οἱ δὲ θεοὶ τοῖσι ἀνθρώποισι διδοῦσι τἀγαθὰ πάντα καὶ πάλαι καὶ νῦ ν . πλὴν ὁκόσα κακὰ καὶ βλαβερὰ καὶ ἀνωφελέ α , τάδε δ ’ οὔ〈τε〉 πάλαι οὔτε νῦν θεοὶ ἀνθρώποισι δωροῦντα ι , ἀλ λ ’ αὐτοὶ τοῖσδεσιν ἐμπελάζουσι διὰ νοῦ τυφλότητα καὶ ἀγνωμοσύνη ν.
176	— —5 τύχη μεγαλόδωρο ς , ἀλ λ ’ ἀβέβαιο ς , φύσις δὲ αὐτάρκη ς · διόπερ νικᾶι τῶι ἥσσονι καὶ βεβαίωι τὸ μεῖζον τῆς ἐλπίδο ς.
177	— —40 Δ—ου. οὔτε λόγος ἐσθλὸς φαύλην πρῆξιν ἀμαυρίσκει οὔτε πρῆξις ἀγαθὴ λόγου βλασφημίηι λυμαίνετα ι.
178	— —31, 56 Δ—ου. πάντων κάκιστον ἡ εὐπετείη παιδεῦσαι τὴν νεότητ α · αὕτη γάρ ἐστιν ἣ τίκτει τὰς ἡδονὰς ταύτα ς , ἐξ ὧν ἡ κακότης γίνετα ι.
179	— —57 τοῦ αὐτοῦ. † ἐξωτικῶς † μὴ πονεῖν παῖδες ἀνιέντες οὔτε γράμμα τ ’ ἂν μάθοιεν οὔτε μουσικὴν οὔτε ἀγωνίην οὐ δ ’ ὅπερ μάλιστα τὴν ἀρετὴν συνέχε ι , τὸ αἰδεῖσθα ι · μάλα γὰρ ἐκ τούτων φιλεῖ γίγνεσθαι ἡ αἰδώ ς.
180	— —58 τοῦ αὐτοῦ. ἡ παιδεία εὐτυχοῦσι μέν ἐστι κόσμο ς , ἀτυχοῦσι δὲ καταφύγιον
181	— —59 τοῦ αὐτοῦ. κρείσσων ἐ π ’ ἀρετὴν φανεῖται προτροπῆι χρώμενος καὶ λόγου πειθοῖ ἤπερ νόμωι καὶ ἀνάγκη ι . λάθρηι μὲν γὰρ ἁμαρτέειν εἰκὸς τὸν εἰργμένον ἀδικίης ὑπὸ νόμο υ , τὸν δὲ ἐς τὸ δέον ἠγμένον πειθοῖ οὐκ εἰκὸς οὔτε λάθρηι οὔτε φανερῶς ἔρδειν τι πλημμελέ ς . διόπερ συνέσει τε καὶ ἐπιστήμηι ὀρθοπραγέων τις ἀνδρεῖος ἅμα καὶ εὐθύγνωμος γίγνετα ι .
182	— —66 τοῦ αὐτοῦ. τὰ μὲν καλὰ χρήματα τοῖς πόνοις ἡ μάθησις ἐξεργάζετα ι , τὰ δ ’ αἰσχρὰ ἄνευ πόνων αὐτόματα καρποῦτα ι. καὶ γὰρ οὖν οὐκ ἐθέλοντα πολλάκις ἐξείργει τοιοῦτον εἶναι † οὕτω μεγάλης τε τῆς φυτικῆς ἐστι †.
183	— —72 τοῦ αὐτοῦ. ἔστι που νέων ξύνεσις καὶ γερόντων ἀξυνεσί η · χρόνος γὰρ οὐ διδάσκει φρονεῖ ν , ἀλ λ ’ ὡραίη τροφὴ καὶ φύσι ς.
184	— —90 Δ—ου. φαύλων ὁμιλίη συνεχὴς ἕξιν κακίης συναύξε ι.
185	— —94 Δ—ου. κρέσσονές εἰσιν αἱ τῶν πεπαιδευμένων ἐλπίδες ἢ ὁ τῶν ἀμαθῶν πλοῦτο ς.
186	—33, 9 Δ—ου. ὁμοφροσύνη φιλίην ποιε ῖ.
187	—(Flor.) III t. 1, 27 Hense Δημοκρίτου. ἀνθρώποις ἁρμόδιον ψυχῆς μᾶλλον ἢ σώματος λόγον ποιεῖσθα ι · ψυχῆς μὲν γὰρ τελεότης σκήνεος μοχθηρίην ὀρθο ῖ , σκήνεος δὲ ἰσχὺς ἄνευ λογισμοῦ ψυχὴν οὐδέν τι ἀμείνω τίθησι ν.
188	— —46 ὅρος συμφόρων καὶ ἀσυμφόρων τέρψις καὶ ἀτερπί η.
189	— —47 ἄριστον ἀνθρώπωι τὸν βίον διάγειν ὡς πλεῖστα εὐθυμηθέντι καὶ ἐλάχιστα ἀνιηθέντ ι . τοῦτο δ ’ ἂν εἴ η , εἴ τις μὴ ἐπὶ τοῖς θνητοῖσι τὰς ἡδονὰς ποιοῖτ ο.
190	STOB. III 1, 91 Δ—ου. φαύλων ἔργων καὶ τοὺς λόγους παραιτητέο ν.
191	— —210 Δ—ου. ἀνθρώποισι γὰρ εὐθυμίη γίνεται μετριότητι τέρψιος καὶ βίου συμμετρίη ι · τὰ δ ’ ἐλλείποντα καὶ ὑπερβάλλοντα μεταπίπτειν τε φιλεῖ καὶ μεγάλας κινήσιας ἐμποιεῖν τῆι ψυχῆ ι . αἱ δ ’ ἐκ μεγάλων διαστημάτων κινούμεναι τῶν ψυχέων οὔτε εὐσταθέες εἰσὶν οὔτε εὔθυμο ι . ἐπὶ τοῖς δυνατοῖς οὖν δεῖ ἔχειν τὴν γνώμην καὶ τοῖς παρεοῦσιν ἀρκέεσθαι τῶν μὲν ζηλουμένων καὶ θαυμαζομένων ὀλίγην μνήμην ἔχοντα καὶ τῆι διανοίαι μὴ προσεδρεύοντ α , τῶν δὲ ταλαιπωρεόντων τοὺς βίους θεωρέει ν , ἐννοούμενον ἃ πάσχουσι κάρτα (?) , ὅκως ἂν τὰ παρεόντα σοι καὶ ὑπάρχοντα μεγάλα καὶ ζηλωτὰ φαίνητα ι , καὶ μηκέτι πλειόνων ἐπιθυμέοντι συμβαίνηι κακοπαθεῖν τῆι ψυχῆ ι . ὁ γὰρ θαυμάζων τοὺς ἔχοντας καὶ μακαριζομένους ὑπὸ τῶν ἄλλων ἀνθρώπων καὶ τῆι μνήμηι πᾶσαν ὥραν προσεδρεύων ἀεὶ ἐπικαινουργεῖν ἀναγκάζεται καὶ ἐπιβάλλεσθαι δ ι ’ ἐπιθυμίην τοῦ τι πρήσσειν ἀνήκεστον ὧν νόμοι κωλύουσι ν . διόπερ τὰ μὲν μὴ δίζεσθαι χρεώ ν , ἐπὶ δὲ τοῖς εὐθυμέεσθαι χρεώ ν , παραβάλλοντα τὸν ἑαυτοῦ βίον πρὸς τὸν τῶν φαυλότερον πρησσόντων καὶ μακαρίζειν ἑωυτὸν ἐνθυμεύμενον ἃ πάσχουσι ν , ὁκόσωι αὐτέων βέλτιον πρήσσει τε καὶ διάγε ι . ταύτης γὰρ ἐχόμενος τῆς γνώμης εὐθυμότερόν τε διάξεις καὶ οὐκ ὀλίγας κῆρας ἐν τῶι βίωι διώσεα ι , φθόνον καὶ ζῆλον καὶ δυσμενίη ν.
192	—2, 36 Δ—ου. ἔστι ῥάιδιον μὲν ἐπαινεῖν ἃ μὴ χρὴ καὶ ψέγει ν , ἑκάτερον δὲ πονηροῦ τινος ἤθου ς.
193	—3, 43 Δ—ου. φρονήσιος ἔργον μέλλουσαν ἀδικίην φυλάξασθα ι , ἀναλγησίης δὲ [ τ ὸ ] γενομένην μὴ ἀμύνασθα ι.
194	— —46 Δ—ου. αἱ μεγάλαι τέρψεις ἀπὸ τοῦ θεᾶσθαι τὰ καλὰ τῶν ἔργων γίνοντα ι.
195	—4, 69 Δ—ου ... εἴδωλα ἐσθῆτι καὶ κόσμωι διαπρεπέα πρὸς θεωρίη ν , ἀλλὰ καρδίης κενε ά.
196	STOB. III 4, 70 λήθη τῶν ἰδίων κακῶν θρασύτητα γεννᾶ ι.
197	— —71 ἀνοήμονες ῥυσμοῦνται τοῖς τῆς τύχης κέρδεσι ν , οἱ δὲ τῶν τοιῶνδε δαήμονες τοῖς τῆς σοφίη ς.
198	— —72 τὸ χρῆιζον οἶδε ν , ὁκόσον χρήιζε ι , ὁ δὲ χρήιζων οὐ γινώσκε ι.
199	— —73 ἀνοήμονες τὸ ζῆν ὡς (? ) στυγέοντες ζῆν ἐθέλουσι δείματι ἀίδε ω.
200	— —74 ἀνοήμονες βιοῦσιν οὐ τερπόμενοι βιοτῆ ι.
201	— —75 ἀνοήμονες δηναιότητος ὀρέγονται οὐ τερπόμενοι δηναιότητ ι.
202	— —76 ἀνοήμονες τῶν ἀπεόντων ὀρέγοντα ι , τὰ δὲ παρεόντα καὶ παρωιχημένων κερδαλεώτερα ἐόντα ἀμαλδύνουσι ν.
203	— —77 ἄνθρωποι τὸν θάνατον φεύγοντες διώκουσι ν.
204	— —78 ἀνοήμονες οὐδέ ν ’ ἁνδάνουσιν (? ) ἐν ὅληι τῆι βιοτῆ ι.
205	— —79 ἀνοήμονες ζωῆς ὀρέγονται [ γήραο ς ] θάνατον δεδοικότε ς.
206	— —80 ἀνοήμονες θάνατον δεδοικότες γηράσκειν ἐθέλουσι ν.
207	—5, 22 Δ—ου. ἡδονὴν οὐ πᾶσα ν , ἀλλὰ τὴν ἐπὶ τῶι καλῶι αἱρεῖσθαι χρεώ ν.
208	— —24 πατρὸς σωφροσύνη μέγιστον τέκνοις παράγγελμ α.
209	STOB. III 5, 25 Δ—ου. αὐταρκείηι τροφῆς σμικρὴ νὺξ [? ] οὐδέποτε γίνετα ι.
210	— —26 Δ—ου. τράπεζαν πολυτελέα μὲν τύχη παρατίθησι ν , αὐταρκέα δὲ σωφροσύν η.
211	— —27 Δ—ου. σωφροσύνη τὰ τερπνὰ ἀέξει καὶ ἡδονὴν ἐπιμείζονα ποιε ῖ.
212	— —6, 27 Δ—ου. ἡμερήσιοι ὕπνοι σώματος ὄχλησιν ἢ ψυχῆς ἀδημοσύνην ἢ ἀργίην ἢ ἀπαιδευσίην σημαίνουσ ι.
213	—7, 21 Δ—ου. ἀνδρείη τὰς ἄτας μικρὰς ἔρδε ι.
214	— —25 Δ—ου. ἀνδρεῖος οὐχ ὁ τῶν πολεμίων μόνο ν , ἀλλὰ καὶ ὁ τῶν ἡδονῶν κρέσσω ν . ἔνιοι δὲ πολίων μὲν δεσπόζουσ ι , γυναιξὶ δὲ δουλεύουσι ν.
215	— —31 Δ—ου. δίκης κῦδος γνώμης θάρσος καὶ ἀθαμβί η , ἀδικίης δὲ δεῖμα ξυμφορῆς τέρμ α.
216	— —74 Δ—ου. σοφίη ἄθαμβος ἀξίη πάντων [ τιμιωτάτη οὖσ α].
217	— —30 Δ—ου. μοῦνοι θεοφιλέε ς , ὅσοις ἐχθρὸν τὸ ἀδικέει ν.
218	—10, 36 Δ—ου. πλοῦτος ἀπὸ κακῆς ἐργασίης περιγινόμενος ἐπιφανέστερον τὸ ὄνειδος κέκτητα ι.
219	— —43 τοῦ αὐτοῦ. χρημάτων ὄρεξι ς , ἢν μὴ ὁρίζηται κόρω ι , πενίης ἐσχάτης πολλὸν χαλεπωτέρ η · μέζονες γὰρ ὀρέξεις μέζονας ἐνδείας ποιεῦσι ν.
220	— —44 Δ—ου. κακὰ κέρδεα ζημίαν ἀρετῆς φέρε ι .
221	— —58 Δ—ου. ἐλπὶς κακοῦ κέρδεος ἀρχὴ ζημίη ς.
222	STOB. III 10, 64 Δ—ου. ἡ τέκνοις ἄγαν χρημάτων συναγωγὴ πρόφασίς ἐστι φιλαργυρίης τρόπον ἴδιον ἐλέγχουσ α.
223	— —65 τοῦ αὐτοῦ. ὧν τὸ σκῆνος χρήιζε ι , πᾶσι πάρεστιν εὐμαρέως ἄτερ μόχθου καὶ ταλαιπωρίη ς · ὁκόσα δὲ μόχθου καὶ ταλαιπωρίης χρήιζει καὶ βίον ἀλγύνε ι , τούτων οὐκ ἱμείρεται τὸ σκῆνο ς , ἀλ λ ’ ἡ τῆς γνώμης κακοθιγίη (?).
224	— —68 Δ—ου. ἡ τοῦ πλέονος ἐπιθυμίη τὸ παρεὸν ἀπόλλυσι τῆι Αἰσωπείηι κυνὶ [233 H.] ἰκέλη γινομέν η.
225	—12, 13 Δ—ου. ἀληθομυθέειν χρεώ ν , οὐ πολυλογέει ν. = B 44.
226	— —47 Δ—ου. οἰκήιον ἐλευθερίης παρρησί η , κίνδυνος δὲ ἡ τοῦ καιροῦ διάγνωσι ς.
227	—16, 17 Δ—ου. οἱ φειδωλοὶ τὸν τῆς μελίσσης οἶτον ἔχουσιν ἐργαζόμενοι ὡς ἀεὶ βιωσόμενο ι.
228	— —18 τοῦ αὐτοῦ. οἱ τῶν φειδωλῶν παῖδες ἀμαθέες γινόμενο ι , ὥσπερ οἱ ὀρχησταὶ οἱ ἐς τὰς μαχαίρας ὀρούοντε ς , ἢν ἑνὸς μούνου 〈μὴ〉 τύχωσι καταφερόμενο ι , ἔνθα δεῖ τοὺς πόδας ἐρεῖσα ι , ἀπόλλυνται ( χαλεπὸν δὲ τυχεῖν ἑνό ς · τὸ γὰρ ἴχνιον μοῦνον λέλειπται τῶν ποδῶ ν ) οὕτω δὲ καὶ οὗτο ι , ἢν ἁμάρτωσι τοῦ πατρικοῦ τύπου τοῦ ἐπιμελέος καὶ φειδωλο ῦ , φιλέουσι διαφθείρεσθα ι.
229	— —19 τοῦ αὐτοῦ. φειδώ τοι καὶ λιμὸς χρηστ ή · ἐν καιρῶι δὲ καὶ δαπάν η · γινώσκειν δὲ ἀγαθο ῦ.
230	— —22 Δ—ου. βίος ἀνεόρταστος μακρὴ ὁδὸς ἀπανδόκευτο ς.
231	—17, 25 Δ—ου. εὐγνώμων ὁ μὴ λυπεόμενος ἐ φ ’ οἷσιν οὐκ ἔχε ι , ἀλλὰ χαίρων ἐ φ ’ οἷσιν ἔχε ι.
232	— —37 Δ—ου. τῶν ἡδέων τὰ σπανιώτατα γινόμενα μάλιστα τέρπε ι.
233	STOB. III 17, 38 τοῦ αὐτοῦ. εἴ τις ὑπερβάλλοι τὸ μέτριο ν , τὰ ἐπιτερπέστατα ἀτερπέστατα ἂν γίγνοιτ ο.
234	—18, 30 Δ—ου. ὑγιείην εὐχῆισι παρὰ θεῶν αἰτέονται ἄνθρωπο ι , τὴν δὲ ταύτης δύναμιν ἐν ἑαυτοῖς ἔχοντες οὐκ ἴσασι ν · ἀκρασίηι δὲ τἀναντία πρήσσοντες αὐτοὶ προδόται τῆς ὑγείης τῆισιν ἐπιθυμίηισιν γίνοντα ι.
235	— —35 Δ—ου. ὅσοι ἀπὸ γαστρὸς τὰς ἡδονὰς ποιέονται ὑπερβεβληκότες τὸν καιρὸν ἐπὶ βρώσεσιν ἢ πόσεσιν ἢ ἀφροδισίοισι ν , τοῖσι πᾶσιν αἱ μὲν ἡδοναὶ βραχεῖαί τε καὶ δ ι ’ ὀλίγου γίνοντα ι , ὁκόσον ἂν χρόνον ἐσθίωσιν ἢ πίνωσι ν , αἱ δὲ λῦπαι πολλα ί . τοῦτο μὲν γὰρ τὸ ἐπιθυμεῖν ἀεὶ τῶν αὐτῶν πάρεστι καὶ ὁκόταν γένηται ὁκοίων ἐπιθυμέουσ ι , διὰ ταχέος τε ἡ ἡδονὴ παροίχετα ι , καὶ οὐδὲν ἐν αὐτοῖσι χρηστόν ἐστιν ἄλ λ ’ ἢ τέρψις βραχεῖ α , καὶ αὖθις τῶν αὐτῶν δε ῖ.
236	— —20, 56 Δ—ου. θυμῶι μάχεσθαι μὲν χαλεπό ν · ἀνδρὸς δὲ τὸ κρατέειν εὐλογίστο υ.
237	— —62 Δ—ου. φιλονικίη πᾶσα ἀνόητο ς · τὸ γὰρ κατὰ τοῦ δυσμενέος βλαβερὸν θεωρεῦσα τὸ ἴδιον συμφέρον οὐ βλέπε ι.
238	—22, 42 Δ—ου. τελευτᾶι γὰρ ἐς κακοδοξίην [ κακὴ ν ] ὁ παρεκτεινόμενος τῶι κρέσσον ι.
