Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 896.1	Βακχίου
book 896.2	φιλανθέμου Αἴθοπα
book 896.3	πεπαίνοντ’ ὀρχάτους ὀπωρινούς, ἐξ οὗ βροτοὶ καλοῦσιν οἶνον αἴθοπα.
book 897.1	παίδευμα δ’ Ἔρως
book 897.2	σοφίας ἀρετῆς
book 897.3	πλεῖστον ὑπάρχει, καὶ προσομιλεῖν οὗτος ὁ δαίμων πάντων ἥδιστος ἔφυ θνητοῖς·[ln_5]καὶ γὰρ ἄλυπον τέρψιν
book 897.4	τιν’ ἔχων εἰς ἐλπίδ’ ἄγει. τοῖς δ’ ἀτελέστοις τῶν
book 897.5	τοῦδε πόνων μήτε
book 897.6	συνείην
book 897.7	χωρίς τ’ ἀγρίων ναίοιμι
book 897.8	τρόπων. τὸ δ’ ἐρᾶν
book 897.9	προλέγω
book 897.10	τοῖσι νέοισιν[ln_10]μήποτε
book 897.11	φεύγειν, χρῆσθαι δ’ ὀρθῶς, ὅταν ἔλθῃ.
book 898.1	τὴν Ἀφροδίτην οὐχ ὁρᾷς ὅση θεός; ἣν οὐδ’ ἂν εἴποις οὐδὲ μετρήσειας ἂν ὅση πέφυκε κἀφ’ ὅσον διέρχεται. αὕτη
book 898.2	τρέφει σὲ κἀμὲ καὶ πάντας βροτούς.[ln_5]τεκμήριον δέ, μὴ λόγῳ μόνον μάθῃς, ἔργῳ δὲ δείξω τὸ σθένος τὸ τῆς θεοῦ. ἐρᾷ μὲν ὄμβρου γαῖ’, ὅταν ξηρὸν πέδον ἄκαρπον αὐχμῷ νοτίδος ἐνδεῶς ἔχῃ· ἐρᾷ δ’ ὁ σεμνὸς οὐρανὸς
book 898.3	πληρούμενος[ln_10]ὄμβρου
book 898.4	πεσεῖν εἰς γαῖαν Ἀφροδίτης ὕπο· ὅταν δὲ συμμιχθῆτον ἐς
book 898.5	ταὐτὸν δύο, φύουσιν ἡμῖν πάντα καὶ τρέφους’ ἅμα,
book 898	δι’ ὧν βρότειον ζῇ τε καὶ θάλλει γένος.
book 899.1	εἴ μοι τὸ Νεστόρειον εὔγλωσσον μέλος Ἀντήνορός
book 899.2	τε τοῦ Φρυγὸς δοίη θεός, οὐκ ἂν δυναίμην μὴ στέγοντα
book 899.3	πιμπλάναι, σοφοὺς ἐπαντλῶν ἀνδρὶ μὴ σοφῷ λόγους.
book 900	ὤφειλε δῆθεν, εἴπερ ἔστ’ ἐν οὐρανῷ Ζεύς, μὴ τὸν αὐτὸν δυστυχῆ καθιστάναι.
book 901.1	πολλάκι μοι
book 901.2	πραπίδων διῆλθε
book 901.3	φροντίς, εἴτε τύχα 〈τισ〉 εἴτε δαίμων τὰ βρότεια κραίνει, παρά τ’ ἐλπίδα καὶ παρὰ δίκαν
book 901.4	τοὺς μὲν ἀπ’ οἴκων δ’ ἐναπίπτοντας[ln_5]ἀτὰρ θεοῦ, τοὺς δ’ εὐτυχοῦντας ἄγει.
book 902	τὸν ἐσθλὸν ἄνδρα, κἂν ἑκὰς ναίῃ χθονός, κἂν μήποτ’ ὄσσοις εἰσίδω, κρίνω φίλον.
book 903	ἄφρων ἂν εἴην, εἰ τρέφοιν τὰ τῶν πέλας.
book 904	ἀλλ’ ἄκρας εὐηθίας ἅπτοιτ’ ἂν ὅστις τὴν φύσιν νικᾶν θέλει.
book 905	μισῶ σοφιστήν, ὅστις οὐχ αὑτῷ σοφός.
book 906	ψῦχος δὲ λεπτῷ χρωτὶ πολεμιώτατον.
book 907.1	κρέασι βοείοις
book 907.2	χλωρὰ σῦκ’ ἐπήσθιεν ἄμους’ ὑλακτῶν ὥστε βαρβάρῳ μαθεῖν.
book 908.1	τὸ μὴ γενέσθαι κρεῖσσον ἢ φῦναι βροτοῖς. ἔπειτα
book 908.2	παῖδας σὺν
book 908.3	πικραῖς ἀλγηδόσιν τίκτω; τεκοῦσα δ’ ἢν μὲν ἄφρονας τέκω, στένω ματαίως, εἰσορῶσα 〈μὲν〉 κακούς,[ln_5]χρηστοὺς δ’ ἀπολλῦς’· ἢν δὲ καὶ σεσωσμένους, τήκω τάλαιναν καρδίαν ὀρρωδίᾳ. τί τοῦτο δὴ τὸ χρηστόν; οὐκ ἀρκεῖ μίαν
book 908.4	ψυχὴν ἀλύειν κἀπὶ τῇδ’ ἔχειν πόνους;
book 909.1	οὐδεμίαν ὤνησε κάλλος εἰς πόσιν ξυνάορον, ἁρετὴ δ’ ὤνησε
book 909.2	πολλάς πᾶσα γὰρ ἀγαθὴ γυνὴ ἥτις ἀνδρὶ συντέτηκε
book 909.3	σωφρονεῖν ἐπίσταται. πρῶτα μέν γε
book 909.4	τοῦθ’ ὑπάρχει· κἂν ἄμορφος ᾖ πόσις,[ln_5]χρὴ δοκεῖν εὔμορφον εἶναι τῇ γε νοῦν κεκτημένῃ· οὐ γὰρ ὀφθαλμὸς τὸ κρίνειν .. ἐστὶν ἀλλὰ νοῦς. εὖ λέγειν δ’, ὅταν
book 909.5	τι λέξῃ, χρὴ δοκεῖν, κἂν μὴ λέγῃ, κἀκπονεῖν ἃν τῷ ξυνόντι
book 909.6	πρὸς χάριν μέλλῃ τελεῖν. ἡδὺ δ’, ἢν κακὸν πάθῃ τι, συσκυθρωπάζειν πόσει[ln_10]ἄλοχον ἐν κοινῷ τε λύπης ἡδονῆς τ’ ἔχειν μέρος ... σοὶ δ’ ἔγωγε καὶ νοσοῦντι
book 909.7	συννοσοῦς’ ἀνέξομαι καὶ κακῶν τῶν σῶν ξυνοίσω, κοὐδὲν ἔσται μοι
book 909.8	πικρόν.
book 910.1	ὄλβιος ὅστις τῆς ἱστορίας ἔσχε μάθησιν, μήτε
book 910.2	πολιτῶν ἐπὶ πημοσύνην μήτ’ εἰς ἀδίκους
book 910.3	πράξεις ὁρμῶν,[ln_5]ἀλλ’ ἀθανάτου καθορῶν φύσεως κόσμον ἀγήρων, πῇ τε
book 910.4	συνέστη καὶ ὅπῃ καὶ ὅπως. τοῖς δὲ τοιούτοις οὐδέποτ’ αἰσχρῶν ἔργων μελέδημα
book 910.5	προσίζει.
book 911.1	χρύσεαι δή μοι
book 911.2	πτέρυγες
book 911.3	περὶ νώτῳ καὶ τὰ σειρήνων
book 911.4	πτερόεντα πέδιλα [ἁρμόζεται], βάσομαί τ’ εἰς αἰθέριον πόλον ἀρθεὶς Ζηνὶ προσμείξων
book 912.1	σοὶ τῷ πάντων μεδέοντι
book 912.2	χοὴν πέλανόν
book 912.3	τε φέρω, Ζεὺς εἴτ’ Ἀίδης ὀνομαζόμενος
book 912.4	στέργεις· σὺ δέ μοι θυσίαν ἄπυρον
book 912.5	παγκαρπείας[ln_5]δέξαι
book 912.6	πλήρη
book 912.7	προχυθεῖσαν. σὺ γὰρ ἔν
book 912.8	τε θεοῖς
book 912.9	τοῖς οὐρανίδαις
book 912.10	σκῆπτρον τὸ Διὸς μεταχειρίζεις
book 912.11	χθονίων θ’ Ἅιδῃ μετέχεις ἀρχῆς. πέμψον δ’ ἐς φῶς
book 912.12	ψυχὰς ἐνέρων[ln_10]τοῖς βουλομένοις ἄθλους
book 912.13	προμαθεῖν πόθεν ἔβλαστον, τίς ῥίζα κακῶν, τίνα δεῖ μακάρων ἐκθυσαμένους εὑρεῖν μόχθων ἀνάπαυλαν.
book 913.1	τίς τάδε λεύσσων θεὸν οὐχὶ νοεῖ, μετεωρολόγων δ’ ἑκὰς ἔρριψεν
book 913.2	σκολιὰς ἀπάτας; ὧν ἀτηρὰ γλῶσς’ εἰκοβολεῖ περὶ τῶν ἀφανῶν[ln_5]οὐδὲν γνώμης μετέχουσα.
book 914.1	κακὸν γυναῖκα
book 914.2	πρὸς νέον ζεῦξαι νέαν· ὃ μὲν γὰρ ἄλλης λέκτρον ἱμείρει λαβεῖν, ἣ δ’ ἐνδεὴς
book 914.3	τοῦδ’ οὖσα βουλεύει κακά.
book 915	νικᾷ δὲ χρεία μ’ ἡ κακῶς τ’ ὀλουμένη γαστήρ, ἀφ’ ἧς δὴ πάντα γίγνεται κακά.
book 916.1	ὦ πολύμοχθος βιοτὴ θνητοῖς, ὡς ἐπὶ παντὶ σφαλερὰ κεῖσαι, καὶ τὰ μὲν αὔξεις, τὰ δ’ ἀποφθινύθεις· κοὐκ ἔστιν ὅρος κείμενος οὐδεὶς[ln_5]εἰς ὅντινα
book 916.2	χρὴ κέλσαι θνητοῖς, πλὴν ὅταν ἔλθῃ κρυερὰ Διόθεν θανάτου
book 916.3	πεμφθεῖσα
book 916.4	τελευτή.
book 917.1	ὅσοι δ’ ἰατρεύειν καλῶς, πρὸς τὰς διαίτας τῶν ἐνοικούντων πόλιν τὴν γῆν ἰδόντας τὰς νόσους
book 917.2	σκοπεῖν
book 917.3	χρεών.
book 918.1	πρὸς
book 918.2	ταῦθ’ ὅτι
book 918.3	χρὴ καὶ παλαμάσθων καὶ πᾶν ἐπ’ ἐμοὶ τεκταινέσθων· τὸ γὰρ εὖ μετ’ ἐμοῦ καὶ τὸ δίκαιον ξύμμαχον ἔσται,[ln_5]κοὐ μή ποθ’ ἁλῶ κακὰ πράσσων.
book 919.1	κορυφὴ δὲ θεῶν ὁ πέριξ
book 919.2	χθόν’ ἔχων
book 919.3	φαεννὸς αἰθήρ
book 920	ἡ φύσις ἐβούλεθ’, ᾗ νόμων οὐδὲν μέλει.
book 921.1	ἀωρὶ πόντου κύματ’ εὐρέος
book 921.2	περᾷ ... σμικραῖς ἑαυτοὺς ἐπιτρέπουσιν ἐλπίσιν
book 922.1	τίς
book 922.2	τοὐμὸν ὄνομα
book 922.3	τοὐπονείδιστον βροτοῖς οὐκ οἶδε Λαμίας τῆς Λιβυστικῆς γένος;
book 923.1	οὐκ ἐγγυῶμαι, ζημίαν
book 923.2	φιλεγγύων
book 923.3	σκοπῶν· τὰ Πυθοῖ δ’ οὐκ ἐᾷ με γράμματα.
book 924.1	μή μοι λεπτῶν θίγγανε μύθων, ψυχή· τί περισσὰ φρονεῖς; εἰ μὴ μέλλεις
book 924.2	σεμνύνεσθαι
book 924.3	παρ’ ὁμοίοις.
book 926	γλώσσῃ διαψαίρουσα μυκτήρων πόρους
book 927	ἔνδον γυναικῶν καὶ παρ’ οἰκέταις λόγος
book 928.1	οὐ γὰρ ἀσφαλὲς
book 928.2	περαιτέρω τὸ κάλλος ἢ μέσον λαβεῖν.
book 929	ἑῷος ἡνίχ’ ἱππότης ἐξέλαμψεν ἀστήρ
book 930	οἴμοι, δράκων μου γίγνεται τὸ ἥμισυ· τέκνον, περιπλάκηθι τῷ λοιπῷ πατρί.
book 931	λωτίνας ἀηδόνας
book 932	Αἰγυπτία ἐμπολή
book 933.1	βάσκανον μέγιστον
book 933.2	ψυχαγωγόν
book 934.1	νοῦν ἔχοντος 〈ἦν ἄρα〉 φίλον
book 934.2	πρίασθαι
book 934.3	χρημάτων
book 934.4	πολλῶν
book 934.5	σαφῆ.
book 935.1	ἀλλ’ ὦ φίλιπποι
book 935.2	Τρῶες
book 936	οὔκ· ἀλλ’ ἔτ’ ἔμπνουν Ἀίδης μ’ ἐδέξατο.
book 937	μὴ κτεῖνε· τὸν ἱκέτην γὰρ οὐ θέμις κτανεῖν.
book 938	νῦν οὖν ἕκατι ῥημάτων κτενεῖτέ με;
book 939.1	ὦ παγκάκιστα
book 939.2	χθόνια γῆς
book 939.3	παιδεύματα
book 940.1	τί δ’ ἔστι; πρὸς
book 940.2	χορὸν γὰρ οἰκείων ἐρεῖς.
book 941	ὁρᾷς τὸν ὑψοῦ τόνδ’ ἄπειρον αἰθέρα καὶ γῆν πέριξ ἔχονθ’ ὑγραῖς ἐν ἀγκάλαις; τοῦτον νόμιζε Ζῆνα, τόνδ’ ἡγοῦ θεόν.
book 943	πυριγενὴς δὲ δράκων ὁδὸν ἡγεῖται [ταῖς] τετραμόρφοις ὥραις ζευγνὺς ἁρμονίᾳ πολύκαρπον ὄχημα.
book 944	καὶ Γαῖα μῆτερ· Ἑστίαν δέ ς’ οἱ σοφοὶ βροτῶν καλοῦσιν ἡμένην ἐν αἰθέρι.
book 945.1	ἀεί τι καινὸν ἡμέρα
book 945.2	παιδεύεται.
book 946.1	εὖ ἴσθ’, ὅταν
book 946.2	τις εὐσεβῶν θύῃ θεοῖς, κἂν μικρὰ θύῃ, τυγχάνει
book 946.3	σωτηρίας.
book 947	ἦ πολλὰ καὶ δύσγνωστα βουλεύει θεός.
book 948	θεοὺς ἀρέσκου· πᾶν γὰρ ἐκ θεῶν τέλος.
book 949.1	καὶ τοῖς
book 949.2	τεκοῦσιν ἀξίαν
book 949.3	τιμὴν νέμειν
book 950.1	ὡς ἡδὺ πατέρα
book 950.2	παισὶν ἤπιον κυρεῖν καὶ παῖδας εἶναι
book 950.3	πατρὶ μὴ στυγουμένους.
book 951.1	ἢν οἱ τεκόντες
book 951.2	τοῦτο γιγνώσκως’ ὅτι νέοι
book 951.3	ποτ’ ἦσαν, ἠπίως τὴν τῶν τέκνων οἴσουσι κύπριν, φύντες οὐ σκαιοὶ φύσιν.
book 952.1	ὅστις
book 952.2	πατὴρ
book 952.3	πρὸς
book 952.4	παῖδας ἐκβαίνει
book 952.5	πικρός, τὸ γῆρας οὗτος ἑρματίζεται βαρύ.
book 953.1	ὦ πάτερ, ἐχρῆν μὲν οὓς ἐγὼ λόγους λέγω, τούτους λέγειν
book 953.2	σε· καὶ γὰρ ἁρμόζει
book 953.3	φρονεῖν σὲ μᾶλλον ἢ ἐμὲ καὶ λέγειν ὅπου
book 953.4	τι δεῖ· ἐπεὶ δ’ ἀφῆκας, λοιπόν ἐστ’ ἴσως ἐμὲ[ln_5]ἐκ τῆς ἀνάγκης τά γε δίκαι’ αὐτὴν λέγειν. ἐκεῖνος εἰ μὲν μεῖζον ἠδίκηκέ τι, οὐκ ἐμὲ προσήκει λαμβάνειν
book 953.5	τούτων δίκην· ἃ δ’ εἰς ἔμ’ ἡμάρτηκεν αἰσθέσθαι με δεῖ. ἀλλ’ ἀγνοῶ δὴ τυχὸν ἴσως ἄφρων ἐγὼ[ln_10]οὖς’, οὐκ ἂν ἀντείποιμι· καίτοι γ’, ὦ πάτερ, εἰ τἄλλα κρίνειν ἐστὶν ἀνόητον γυνή, περὶ τῶν γ’ ἑαυτῆς
book 953.6	πραγμάτων ἴσως
book 953.7	φρονεῖ .... ἔστω δ’ ὃ βούλει· τοῦτο τί μ’ ἀδικεῖ, λέγε. ἔστ’ ἀνδρὶ καὶ γυναικὶ κείμενος νόμος,
book 953.1	[ln_15]τῷ μὲν διὰ τέλους ἣν ἔχει
book 953.2	στέργειν ἀεί, τῇ δ’ ὅς’ ἂν ἀρέσκῃ τἀνδρὶ ταῦτ’ αὐτὴν
book 953.3	ποεῖν. γέγονεν ἐκεῖνος εἰς ἔμ’ οἷον ἠξίουν, ἐμοί τ’ ἀρέσκει πάνθ’ ἃ κἀκείνῳ, πάτερ. ἀλλ’ ἔστ’ ἐμοὶ μὲν
book 953.4	χρηστός, ἠπόρηκε δέ.[ln_20]σὺ δ’ ἀνδρί μ’, ὡς φής, ἐκδίδως νῦν
book 953.5	πλουσίῳ, ἵνα μὴ καταζῶ τὸν βίον λυπουμένη. καὶ ποῦ τοσαῦτα
book 953.6	χρήματ’ ἐστίν, ὦ πάτερ, ἃ μᾶλλον ἀνδρὸς εὐφρανεῖ παρόντα με; ἢ πῶς δίκαιόν ἐστιν ἢ καλῶς ἔχον[ln_25]τῶν μὲν ἀγαθῶν με τὸ μέρος ὧν εἶχεν λαβεῖν, τοῦ συναπορηθῆναι δὲ μὴ λαβεῖν μέρος; φέρ’ ἢν ὁ νῦν 〈δὴ〉 λαμβάνειν μέλλων μ’ ἀνήρ, ὃ μὴ γένοιτο, Ζεῦ φίλ’, οὐδ’ ἔσται
book 953.7	ποτέ, οὐκ οὖν θελούσης οὐδὲ δυναμένης ἐμοῦ,
book 953.1	[ln_30]ἢν οὗτος αὖθις ἀποβάλῃ τὴν οὐσίαν, ἑτέρῳ με δώσεις ἀνδρί; κᾆτ’ ἐὰν πάλιν ἐκεῖνος, ἑτέρῳ; μέχρι πόσου τὴν τῆς τύχης, πάτερ, σὺ λήψῃ πεῖραν ἐν τὠμῷ βίῳ; ὅτ’ ἦν ἐγὼ παῖς, τότε
book 953.2	σε χρῆν ζητεῖν ἐμοὶ[ln_35]ἄνδρ’ ᾧ με δώσεις· σὴ γὰρ ἦν τόθ’ αἵρεσις· ἐπεὶ δ’ ἅπαξ δέδωκας, ἤδη ἐστίν, πάτερ, ἐμὸν
book 953.3	σκοπεῖν
book 953.4	τοῦτ’, εἰκότως· μὴ γὰρ καλῶς κρίνας’ ἐμαυτῆς τὸν ἴδιον βλάψω βίον. ταῦτ’ ἔστιν· ὥστε μή με, πρὸς τῆς ἑστίας,
book 953.1	[ln_40]ἀποστερήσῃς ἀνδρὸς ᾧ συνῴκισας· χάριν δικαίαν καὶ φιλάνθρωπον, πάτερ, αἰτῶ σε
book 953.2	ταύτην. εἰ δὲ μή, σὺ μὲν βίᾳ πράξεις ἃ βούλει· τὴν δ’ ἐμὴν ἐγὼ τύχην
book 953.3	πειράσομ’ ὡς δεῖ μὴ μετ’ αἰσχύνης φέρειν.
book 955	Δήμητρος λάτριν
book 956.1	εὔξῃ τοιοῦτον ἄνδρα
book 956.2	σοι
book 956.3	παρεστάναι.
book 957.1	μικρὸν
book 957.2	φρονεῖν
book 957.3	χρὴ τὸν κακῶς
book 957.4	πεπραγότα.
book 958.1	τίς δ’ ἔστι δοῦλος
book 958.2	τοῦ θανεῖν ἄφροντις ὤν;
book 959.1	ἐγὼ δ’ οὐδὲν
book 959.2	πρεσβύτερον νομί‐ ζω τᾶς
book 959.3	σωφροσύνας, ἐπεὶ τοῖς ἀγαθοῖς ἀεὶ ξύνεστιν.
book 960	τιμᾶν τὰν τέτασθε, πλούτῳ δ’ ἀρετὰν κατεργά‐ σασθαι δοκεῖτ’, ἐν ἐσθλοῖς δὲ καθήσεσθ’ ἄνολβοι.
book 961	φεῦ, τοῖσι γενναίοισιν ὡς ἅπαν καλόν.
book 962	.. ἄλλ’ ἐπ’ ἄλλῃ φάρμακον κεῖται νόσῳ· λυπουμένῳ μὲν μῦθος εὐμενὴς φίλων, ἄγαν δὲ μωραίνοντι νουθετήματα.
book 963.1	μηδ’ εὐτύχημα μηδὲν ὧδ’ ἔστω μέγα, ὅ ς’ ἐξεπαρεῖ μεῖζον ἢ χρεὼν
book 963.2	φρονεῖν, μηδ’ ἤν
book 963.3	τι συμβῇ δυσχερές, δουλοῦ πάλιν· ἀλλ’ αὑτὸς αἰεὶ μίμνε τὴν
book 963.4	σαυτοῦ φύσιν[ln_5]σῴζων βεβαίως ὥστε
book 963.5	χρυσὸς ἐν
book 963.6	πυρί.
book 964.1	ἐγὼ δὲ 〈ταῦτα〉 παρὰ σοφοῦ τινος μαθὼν εἰς
book 964.2	φροντίδας νοῦν
book 964.3	συμφοράς τ’ ἐβαλλόμην, φυγάς τ’ ἐμαυτῷ προστιθεὶς πάτρας ἐμῆς θανάτους τ’ ἀώρους καὶ κακῶν ἄλλας ὁδούς,[ln_5]ἵν’ εἴ τι πάσχοιμ’ ὧν ἐδόξαζον
book 964.4	φρενί, μή μοι νεῶρες
book 964.5	προσπεσὸν μᾶλλον δάκοι.
book 965.1	ὅστις δ’ ἀνάγκῃ συγκεχώρηκεν βροτῶν, σοφὸς
book 965.2	παρ’ ἡμῖν καὶ τὰ θεῖ’ ἐπίσταται.
book 966	βίος γὰρ ὄνομ’ ἔχει πόνος γεγώς.
book 967	εἴης μοι, μέτριος δέ πως εἴης μηδ’ ἀπολείποις.
book 968.1	Ἑκάτης ἄγαλμα
book 968.2	φωσφόρου κύων ἔσῃ.
book 969.1	οὐ βούλομαι
book 969.2	πλουτοῦντι δωρεῖσθαι πένης, μή μ’ ἄφρονα κρίνῃς ἢ διδοὺς αἰτεῖν δοκῶ.
book 970	ἀλλ’ ἀνοιστέος λόγος
book 971	ὃ δ’ ἄρτι θάλλων σάρκα διοπετὴς ὅπως ἀστὴρ ἀπέσβη, πνεῦμ’ ἀφεὶς ἐς αἰθέρα.
book 972.1	πολλαῖσι μορφαῖς οἱ θεοὶ σοφισμάτων
book 972.2	σφάλλουσιν ἡμᾶς κρείσσονες
book 972.3	πεφυκότες.
book 973	μάντις δ’ ἄριστος ὅστις εἰκάζει καλῶς.
book 974	τῶν ἄγαν γὰρ ἅπτεται θεός, τὰ μικρὰ δ’ εἰς τύχην ἀφεὶς ἐᾷ.
book 975	χαλεποὶ πόλεμοι γὰρ ἀδελφῶν.
book 976	ἀκόλασθ’ ὁμιλεῖν γίγνεται δούλων τέκνα.
book 977.1	ἡ γὰρ
book 977.2	σιωπὴ τοῖς
book 977.3	σοφοῖσιν ἀπόκρισις.
book 978.1	εἰ δ’ ἦσαν ἀνθρώποισιν ὠνητοὶ λόγοι, οὐδεὶς ἂν αὑτὸν εὖ λέγειν ἐβούλετο· νῦν δ’, ἐκ βαθείας γὰρ πάρεστιν αἰθέρος λαβεῖν ἀμοχθί, πᾶς
book 978.2	τις ἥδεται λέγων[ln_5]τά τ’ ὄντα καὶ μή· ζημίαν γὰρ οὐκ ἔχει.
book 979.1	οὔτοι
book 979.2	προσελθοῦς’ ἡ Δίκη
book 979.3	σε, μὴ τρέσῃς, παίσει
book 979.4	πρὸς ἧπαρ οὐδὲ τῶν ἄλλων βροτῶν τὸν ἄδικον, ἀλλὰ σῖγα καὶ βραδεῖ ποδὶ στείχουσα μάρψει
book 979.5	τοὺς κακούς, ὅταν τύχῃ.
book 980.1	τὰ τῶν
book 980.2	τεκόντων
book 980.3	σφάλματ’ εἰς
book 980.4	τοὺς ἐκγόνους οἱ θεοὶ τρέπουσιν.
book 981.1	εἰ δὲ πάρεργον
book 981.2	χρή τι κομπάσαι, γύναι, οὐρανὸν ὑπὲρ γῆς ἔχομεν εὖ κεκραμένον, ἵν’ οὔτ’ ἄγαν πῦρ οὔτε
book 981.3	χεῖμα
book 981.4	συμπίτνει· ἃ δ’ Ἑλλὰς Ἀσία τ’ ἐκτρέφει κάλλιστα, γῆν[ln_5]δέλεαρ ἔχοντες 〈τήνδε〉 συνθηρεύομεν.
book 982.1	πολλοὺς δὲ βροντῆς
book 982.2	πνεῦμ’ ἄναιμον ὤλεσεν.
book 983.1	οἶνος
book 983.2	περάσας
book 983.3	πλευμόνων διαρροάς
book 984	ἄλλην θέλουσιν εἰσαγώγιμον λαβεῖν
book 985	ὁ πετόμενος ἱερὸν ἀνὰ Διὸς αἰθέρα γοργοφόνος
book 986.1	πλούτῳ χλιδῶσα θνητὰ δὴ γύναι
book 986.2	φρόνει.
book 987.1	εἴθ’ ἦν ἄφωνον
book 987.2	σπέρμα δυστήνων βροτῶν.
book 988	τέκτων γὰρ ὢν ἔπρασσες οὐ ξυλουργικά.
book 989.1	ὁ τῆς τύχης
book 989.2	παῖς κλῆρος
book 990	φίλης τ’ ὀπώρας διπτύχους ἦρός τ’ ἴσους
book 991	ἀλλ’ ἔστι, κεἴ τις ἐγγελᾷ λόγῳ, Ζεὺς καὶ θεοὶ βρότεια λεύσσοντες πάθη.
book 992	ἀμφίπολος Ἄρεος ἀνιέρου
book 993	φίλων λαβεῖν 〈γὰρ〉 πεῖραν οὐ σμικρὸν κακόν.
book 994	εἰ δὲ θανεῖν θέμις, ὧδε θανεῖν καλόν, εἰς ἀρετὴν καταλυσαμένους βίον.
book 995.1	πολλοῖσι
book 995.2	πολλήν, δὶς τόσοις δὲ πλείονα
book 996.1	σύμμικτον εἶδος κἀποφώλιον
book 996.2	τρέφος
book 997	ταύρου μεμῖχθαι καὶ βροτοῦ διπλῇ φύσει
book 998	αἰεὶ πρασίμοχθοι κοὔποθ’ ἥσυχοι δορί
book 999	ἀγήρων ἀρετήν
book 1000.1	Ζεὺς
book 1000.2	συγγένειος
book 1001.1	.. λίνου κλωστῆρα
book 1001.2	περιφέρει λαβών
book 1002.1	κορμοῖσι
book 1002.2	πεύκης
book 1003.1	λῦε
book 1003.2	πηκτὰ δωμάτων
book 1005	ἐγὼ δ’ ἐμός εἰμι
book 1006.1	οὐχ ἑσπέρας φάς’, ἀλλὰ καὶ μεσημβρίας
book 1006.2	τούτους ἀφεστήκασιν ἡμέραν
book 1006.3	τρίτην.
book 1007	λευκοὺς λίθους χέοντες αὐχοῦσιν μέγα.
book 1008.1	〈τί φής;〉 τί σιγᾷς; μῶν φόνον
book 1008.2	τιν’ εἰργάσω;
book 1009.1	γλαυκῶπίς
book 1009.2	τε στρέφεται μήνη
book 1010	ἤπειρον εἰς ἄπειρον ἐκβάλλων πόδα
book 1011	τί χρέος ἔβα δῶμα;
book 1012	ἀεί ποτ’ 〈ἐστὶ〉 σπέρμα κηρύκων λάλον.
book 1013	τὸ μὲν τέθνηκε σῶμα, τοῦτο δ’ ἀναβλέπει.
book 1014	πόλεως μὲν ἀρχῷ, φωτὶ δ’ οὐκ ἔτῃ πρέπων
book 1015.1	αἰεὶ δὲ μήτηρ
book 1015.2	φιλότεκνος μᾶλλον
book 1015.3	πατρός· ἣ μὲν γὰρ αὑτῆς οἶδεν ὄνθ’, ὃ δ’ οἴεται.
book 1017	τὸν εὐτυχοῦντα καὶ φρονεῖν νομίζομεν.
book 1018	ὁ νοῦς γὰρ ἡμῶν ἐστιν ἐν ἑκάστῳ θεός.
book 1019.1	δούλοισι γάρ
book 1019.2	τε ζῶμεν οἱ ἐλεύθεροι.
book 1020	ὃ δ’ ἐσφάδᾳζεν οὐκ ἔχων ἀπαλλαγάς.
book 1023	Αἰθέρα καὶ Γαῖαν πάντων γενέτειραν ἀείδω.
book 1024.1	φθείρουσιν ἤδη
book 1024.2	χρήσθ’ ὁμιλίαι κακαί.
book 1025.1	θεοῦ γὰρ οὐδεὶς
book 1025.2	χωρὶς εὐτυχεῖ βροτῶν οὐδ’ εἰς τὸ μεῖζον ἦλθε· τὰς θνητῶν δ’ ἐγὼ χαίρειν κελεύω θεῶν ἄτερ
book 1025.3	προθυμίας.
book 1026	τὰ πλεῖστα θνητοῖς τῶν κακῶν αὐθαίρετα.
book 1027.1	παῖς ὢν
book 1027.2	φυλάσσου
book 1027.3	πραγμάτων αἰσχρῶν ἄπο· ὡς ἢν
