Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 1264 4	ἀλλ’ ὅτι φέρω; ἀλλὰ μεῖζον τὸ κακὸν ἢ φέρειν. ἀλλ’ ὅτι οὐ φέρω; τοῦτο δὲ οὐκ ἦν σοι δῆλον; ἀλλ’ ὑπὲρ τῆς ἐν χερσὶν ἀρχῆς ἔδει τι παραινεῖν καὶ περὶ δευτέρας ἐλπίδας ὑποτείνειν; ἀλλ’ ᾔδειν ὅτι τῆς μὲν ἐκβεβλῆσθαι δεῖ, τὸ δ’ ὑπὲρ ἄλλης τι λέγειν εἰς ἑτέρους ἥκει. ταχύ μοι δοκεῖς, ὦ φίλε Ἀριστόφανες, ἐπιλελῆσθαι τῆς θείας ἐκείνης κεφαλῆς.
Ep 1264 5	οὐ γὰρ ἂν τοιαῦτα οὔτε ἐπεζήτεις οὔτε ἐπετίμας. ἐπιστολὰς δὲ τὰς ἐκείνου πρὸς ἐμὲ καὶ πρὸς ἐκεῖνον ἐμὰς τὰς μὲν πέμψω, τὰς δὲ οὔ. κρίσει δὲ ἑκάτερον ἔσται· τὰς μὲν γὰρ οὐδὲν δεινὸν φανῆναι, τὰς δὲ ἴσως. ὁ δ’ οἰόμενος λόγῳ με τετιμωρῆσθαι τοὺς περὶ αὐτοῦ βλασφημοῦντας καὶ τοιαύτης ἀκοῆς ἐπιθυμῶν, ὅτι μὲν μισεῖ τοὺς ἐκεῖνον μισοῦντας, καλῶς ποιεῖ· μὴ μέντοι με οὕτως οἰέσθω Μελιτίδην ὡς ἀγνοεῖν οὐκ ἀκίνδυνον τὸ τοιαύτας δίκας λαμβάνειν· οἱ γὰρ αὐτοὶ καὶ βλασφημοῦσι καὶ δύνανται.
Ep 1264 7	ἐκείνῳ μὲν οὖν ἀρκεῖ τὸ πλὴν ὀλίγων ἅπαντας αὐτὸν ποθεῖν· σοῦ δὲ ἐπαινῶ τὸ ἔργων ἐπιθυμεῖν καὶ τὸ μὴ ἑλέσθαι καθεύδειν, ἐπειδήπερ ἔξεστιν. ἄξιον δὲ ἐπαίνου καὶ τὸ πρὸς τὸν ἄριστον Ὀλύμπιον βλέψαι γνώμην ἄδολόν τε καὶ φιλότιμον καὶ δύναμιν ἱκανὴν 〈ἔχοντα〉. Νικοκλεῖ.
Ep 1265 1	Τί δαί; ᾤου, πρὸς Διός, ἐν λειμῶσιν ἡμῖν καὶ ἄνθεσι καὶ ἡσυχίᾳ τὸν ὑπόλοιπον ἔσεσθαι βίον τοιαύτην κεφαλὴν τῆς γῆς κατασχούση ς , οὐκ Αἴαντ α , ὃς πέρι μὲν εἶδο ς, ἀλλ’ ὃς τῷ κάλλει τῆς ψυχῆς πολὺ τοὺς ἡμιθέους ἐνίκα καὶ ὃς Πέρσας μὲν κλάοντας ἐκάθισεν, ἡμᾶς δὲ εἰς ὕψος ἦρεν; οὐκ οἶσθ’ ὅτι τὸ μὲν ὑβρίζειν ἄλλων ἐστίν, ἡμῖν δὲ ἀνάγκη νύττεσθαι ξίφεσί τε καὶ ἔγχεσιν ἀμφιγύοισι ν ; φέρωμεν οὖν ὅ τι ἂν ὁ θεὸς διδῷ, καὶ τοὺς βάλλοντας αὐτῷ τούτῳ λυπῶμεν τῷ πεπαιδεῦσθαι φέρειν· καὶ γὰρ εἰ μὲν ἦν μείζω τὰ δεύτερα τοῦ πρώτου κακοῦ, τάχα ἂν ἦν συγγνώμη θορυβουμένοις· νῦν δ’ ὅ τι ἂν συμβαίνῃ δεινόν, οὐχ ὅσον γε ἐκεῖνο.
Ep 1265 2	ποταμοὺς δὲ περᾶν μετὰ πελάγη κοῦφον. Κλέαρχον μὲν οὖν ἐβουλόμην μηδὲν ἠγροικίσθαι περὶ τὴν σὴν οἰκίαν· ἐπεὶ δὲ λυπεῖν εἵλετο μᾶλλον ἢ ἐπαινεῖσθαι, τοῦ γε αὐτὸν γενέσθαι βελτίω ποιήσομαι πρόνοιαν.
Ep 1265 3	δέξεται γὰρ ἐπιστολὴν μεμφομένην. Λητοΐου δὲ τοῦ Κυνηγίου μεμνημένος τὸ σαυτοῦ ποιεῖς καὶ πρὸς ἐπιμέλειαν ἑτέρους παρακαλῶν ἄξια τῆς ξενίας ποιεῖς.
Ep 1265 4	ἡμεῖς δὲ Κυνήγιον μὲν ἀνδρείως ἀποθανόντα λόγῳ πρότερον τετιμήκαμεν, πρὸς δὲ λόγων κτῆσιν τὸν ἐκείνου τὰ μὲν πείθοντες, τὰ δὲ ἀναγκάζοντες ἄγομεν. Κλεάρχῳ.
Ep 1266 1	Τὰ μὲν καλά σου θαυμαστά, καὶ λόγος πολὺς καὶ καλὸς πολλῶν ἀγαθῶν αἴτιόν σε τοῖς ἀρχομένοις γεγενῆσθαι· Νικοκλέους δὲ κακῶς ὑπὸ σοῦ πάσχοντος οὐκ ὀλίγοις ἀθυμεῖν συμβέβηκεν. οὐδὲ γὰρ λανθάνειν ἔστιν, ὅ τι ἂν περὶ τοὺς ἐνδόξους γίνηται τῶν ἀνδρῶν ἢ χρηστὸν ἢ δυσχερές. καίτοι σοι παρῄνουν ὁρμωμένῳ παρ’ ἡμῶν μηδὲν τοιοῦτο ποιεῖν, ὁποῖα λέγῃ ποιεῖν· σὺ δ’ ὑπέσχου μέν, ἐψεύσω δέ, καὶ φήσας κρείττων ἔσεσθαι τοῦ θυμοῦ νικῶντα τὸν θυμὸν ἔδειξας οὐκ ἐννοῶν ὅτι τὸ μὲν ὀργῇ τι δρᾶσαι τῶν πολλῶν ἂν εἴη, τὸ δ’ ἐξὸν ἀμύνασθαι μὴ βουληθῆναι τῶν σπουδαίων.
Ep 1266 3	καίτοι τί τοῦτο εἶπον ἀμύνασθα ι ; οὐ γὰρ ἔγωγε οἶδα, ὅ τι σε Νικοκλῆς ἐν ἐκείνοις ἠδίκηκε τοῖς χρόνοις. ἀλλ’ ἃ μὲν συνεῖπε, μάρτυς ἐγώ· ἃ δ’ οἴει ἀκηκοέναι κακῶς, εἰ ἐξελέγξαι δέοι, οὐκ ἂν ἔχοις. δεινὸν οὖν δίκας φανερὰς λαμβάνειν ὑπὲρ ἀφανοῦς αἰτίας, οὐδὲ γὰρ δίκην λαβεῖν τοῦτό γέ ἐστιν, ἀλλ’ ἀδικεῖν.
Ep 1266 4	ὁ γὰρ πρὶν ἐξελέγξαι λυπῶν οὔπω ἂν ἐν τάξει τῶν τιμωρουμένων εἴη. οὗτός ἐστιν, ὦ Κλέαρχε, Νικοκλῆς, ᾧ σε ὁ πατὴρ παρέδωκεν, οὗτος, ᾧ σὺ τὸν ἀδελφόν, οὗτος ὁ τὴν μητέρα τὴν ὑμετέραν ὁρῶν, ὃς οὐκ ἄν ποτε εἰς αὑτοῦ παῖδας, παῖδας γὰρ ἔγωγε καλῶ τοὺς μαθητάς, ἥμαρτε.
Ep 1266 6	δῶμεν δ’ οὖν τι καὶ ἡμαρτῆσθαι· πότερον οὖν βέλτιον εἰδέναι πάντας καὶ ἀκούειν ὡς Κλέαρχος οὐκ ἐμνησικάκησεν ἢ ὅτι Κλέαρχος τῇ παρὰ τῆς ἀρχῆς δυνάμει πρὸς τὸ τοὺς ἐχθροὺς ἀμύνασθαι κατεχρήσατο; καὶ γὰρ ἂν τἄλλα δόξῃς εἶναι δίκαιος, ἑνί γε τούτῳ πολλὰ διαβεβλήσῃ. δεῖ δέ σε μὴ μόνον δεῖσαι τὰς ἐπὶ τῷ πράγματι μέμψεις, ἀλλὰ καὶ τὰς τῆς Τύχης μεταβολάς.
Ep 1266 7	χαίρει γὰρ ἡ θεὸς καὶ τὸν κείμενον ἀνιστᾶσα καὶ τὸν ὑψηλὸν καθαιροῦσα. νίκη δ ’ ἐπαμείβεται ἄνδρα ς . καὶ τοὺς Πεισιστράτου παῖδας ἄνδρες φυγάδες ἐξέβαλον. εἰ μὲν οὖν ἐκ Δελφῶν ἀκήκοας ὡς ἀθάνατα μενεῖ καὶ σοὶ κἀκείνοις τὰ νῦν, πρᾶττε, ὅ τι βούλει, τὴν τοῦ καλοῦ μοῖραν χαίρειν ἀφείς· εἰ δ’ οὐδὲν ἐλπίδος ἔξω παρά γε τοῖς εὖ φρονοῦσι, μὴ σφόδρα τοῖς ἀτυχοῦσιν ἔγκεισο, ἵν’, ἤν ποτε εὖ πράξωσιν, ἐπαινῶσί σου τὸν τρόπον.
Ep 1267 t	Λεοντίῳ. Ἴσως μὲν ἤδη τῶν φίλων ἡμῖν ἐπιμεμέλησαι μαθών γε, οἵτινες οὗτοι, καὶ ἐποίησας, ὅπως σοι χάριν εἰδεῖεν· εἰ δ’ οὔπω τοῦτο ἐπράχθη, νῦν γε, ὦ ’γαθέ, γενέσθω.
Ep 1267 2	δώσεις δὲ ἡμῖν ἐλάττω μὲν ἢ οἱ πρότερον χάριν, ἐμοὶ δὲ οὐκ ἐλάττονος λόγου. οἱ μὲν γὰρ μεγάλους ἐκ μικρῶν ἐποίησαν· παρὰ σοῦ δὲ εἰ φυλαχθεῖεν ἐφ’ οὗπέρ εἰσιν, ἀρκέσει, καί σε προσεροῦμεν ὥσπερ ἐκείνους εὐεργέτην. ἥξει δέ σοι καὶ παρὰ τοῦ γενναίου Μοδέστου περὶ τῶν αὐτῶν παράκλησις, ἣν εἰ ποιήσαις ὑστέραν ἐλθεῖν τῶν ἔργων, τῷ φθάσαι τῇ προθυμίᾳ χάριέν τι ποιήσεις.
Ep 1267 3	τὸ γὰρ ἔχειν γράφειν πρὸς αὐτὸν ὡς ἅπερ ἐθέλει, πέπρακται, μεῖζον οἶμαι τοῦ λέγειν ὅτι πεπράξεται. μέλει δὲ ἡμῖν πάντων μὲν ὅσοι τῶν παρ’ ἡμῖν μετεσχήκασι πόνων, οὐχ ἥκιστα δὲ τοῖν τε Εὐσεβίου παίδοιν τοῦ πρεσβυτάτου τε τῶν υἱῶν Μαξίμου, Ὑπερέχιον λέγω, καὶ τὸν τούτου κηδεστήν, Στρατήγιον, καὶ τὸν ἀδελφὸν ἐκείνου, πάντας ἐμοὶ τέκνων οὐδὲν ἀτιμοτέρους.
Ep 1268 t	Ὑπερεχίῳ. Διὰ τί σῶν ἄνευ γραμμάτων νέος ἧκε παρ’ ἡμᾶς ἄλλως τε σοὶ συγγενὴς καὶ ἀδελφιδοῦς τοῦ τὴν ἀδελφὴν τὴν σὴν γυναῖκα ἔχοντος; ἆρά σοι πάντ’ εἰσὶν οἱ ἀγροὶ καὶ τὸ ἐφ’ ἵππον ἀναβῆναι καὶ τὸ θηρία βάλλειν, λόγων δὲ καὶ τοῦ γράφειν οὐδὲ εἷς λόγος; ἀλλ’ οὐδ’ ἐκεῖνα μὲν φαῦλα, χρῆν δὲ καὶ τούτοις εἶναι χώραν.
Ep 1268 2	ἀλλ’ ἔλαθεν ἐξιών; ἀλλ’ οὔτε τοὺς ἄλλους εἰκὸς ὄντα γε οἰκίας τηλικαύτης εἴτε τοὺς ἄλλους, οὐκ ἂν σέ γε. ἀλλ’ οὐκ ᾔτησεν ἐπιστολήν; ἀλλ’ ἀμήχανον τὸν ὅστις ἐγὼ περὶ σὲ οὐκ ἀγνοοῦντα. ἴσως ὅτι πάλιν ἐγκαλεῖς, οἷα πολλὰ πολλάκις, ἐν οἷς ἠλέγχου συκοφαντῶν; ἔστι δὲ τοσούτῳ τὸ παρὸν ἐκείνων δεινότερον, ὅσῳ τότε μὲν ὑπῆρχεν εἰδέναι τὸ πρὸς ὅ τι μάχεσθαι χρῆν· νῦν δ’ ἐμαυτὸν ἐρωτῶν ἀπείρηκα, τί τοῦτο ἔστι τὸ ἔγκλημα.
Ep 1269 t	Μαρίῳ. Ἔθνος πάγκαλον καὶ μεγάλη πόλις ἀνδρὸς ἑνὸς καταβοῶσιν, ἔθνος μὲν Φοίνικες, πόλις δὲ ἡ Ἀντιόχου· οἱ μέν, ὅτι αὐτοὺς ἀφῆκεν, ἡ δ’, ὅτι εἰς αὐτὴν οὐχ ἥκει.
Ep 1269 2	ᾧ δὲ ἐγκαλοῦσιν, ἀνὴρ ῥητορικός τε καὶ ἀρχικός, πρὸς μὲν Φοίνικας οὐκ ἀπορήσων λόγου—τί γὰρ ἔδει μένειν ἐπὶ τῆς ἀρχῆς οὐ μένοντα; —τὴν δ’ ἀπὸ τῆς πόλεως αἰτίαν οὐδ’ ἄν, εἴ τι μηχανήσαιτο, λύσων. Βέρροιαν γὰρ ἰδὼν ἐπελάθετο τῆς μείζονος.
Ep 1269 3	καὶ εἰ μὲν λωτὸν ἔφυσεν ἡ γῆ, συγγνώμη· εἰ δὲ καινὸν μὲν ἤνεγκεν οὐδέν, ὧν δὲ εἰώθει τὸ πλέον ἔκειρεν ἡ πτερωτὴ στρατιά, τί τὸ πεῖθον καταφρονεῖν τῶν παρ’ ἡμῖν ἀγαθῶν; σὺ οὖν αὐτῷ διαλέγου καὶ πεῖσον ἔργῳ λῦσαι τὴν κατηγορίαν.
Ep 1269 4	ὄνομα δὲ αὐτῷ Μάριος. Γαϊανῷ.
Ep 1270 1	Μάγνος ἐπαινῶν σου τὴν εἰς αὑτὸν πρόνοιαν ἀξιοῖ δι’ ἐμοῦ τὴν αὐτήν σε πρὸς αὑτὸν διατηρῆσαι γνώμην. ἐκείνῳ μὲν οὖν τοῦτο ἀρκεῖ, ἐγὼ δὲ μειζόνων ἐπιθυμῶ. γενέσθω δή τι τῶν εἰωθότων πλέον, ἵν’ ἐν τῷ πλέονι τὸ κέρδος τῶν γραμμάτων φανείη.
Ep 1271 t	Σκυλακίῳ. Μάγνου παῖς οὑτοσὶ Μάγνος ῥήτορος ἀγαθοῦ ῥήτωρ οὐ κακός.
Ep 1271 1	τούτῳ θύρας τε ἄνοιξον καὶ χεῖρα ὄρεξον, καὶ μαθέτωσαν Φοίνικες ὅτι σοι τὸ τοῦτον εὖ πράττειν ἐν ἡδονῇ γένοιτ’ ἄν. Ἀνδρονίκῳ.
Ep 1272 1	Οἱ περὶ τὸ βῆμα ζῶντες διὰ τῶν ἐν τοῖς ἔθνεσι δυνατῶν κτῶνται δόξαν, ἐκ δὲ τῆς δόξης πλοῦτον. ἐθαύμασα οὖν, ὅπως σὺ μὲν ἐν Φοινίκῃ δυνατός, Μάγνῳ δὲ οὐδέτερον ἐκείνων. οὐ γὰρ δὴ τοῦ γε λέγειν ἀπειρίαν ἐγκαλέσεις τῷ πολὺν δὴ παρ’ ἡμῖν χρόνον τεθηρευκότι λόγους. γενοῦ τοίνυν περὶ ἄνδρα πρόθυμος ταὐτοῦ κρατῆρός σοι κεκοινωνηκότα.
Ep 1273 t	Οὐλπιανῷ. Ἀρξάμενος πρὸς σὲ περὶ Χρυσογόνου λέγειν, ἐπειδὴ ἠπείγου, τοῦ λέγειν μὲν ἀπέστην, γράψειν δὲ ἔφην καὶ γράφω ὅτι οὗτος ὁ Χρυσόγονος ὀρφανὸς καταλειφθεὶς μείζονι συμφορᾷ τῆς ὀρφανίας ἐχρήσατο πονηροῖς ἐπιτρόποις, οἳ δεσπότας αὑτοὺς τῶν τούτου ποιήσαντες τοῦτον περιορῶσι πεινῶντα.
Ep 1273 2	λόγων μὲν οὖν ἐπεθύμησε καὶ ἧκεν ἐπὶ τούτῳ παρ’ ἡμᾶς, οὐ μὴν ὅσον ἐβούλετο ἔσχεν, τοσοῦτον δ’ ἂν ἴσως δυνηθείη, δηλῶσαι τὴν τῶν ἐπιτρόπων πρὸς αὑτὸν δικαιοσύνην. σὺ δ’, ὥσπερ εἴωθας, ποιήσεις τοὺς νόμους δήπου κυρίους.
Ep 1273 3	εἰ οὖν τὰ αὑτοῦ κομισάμενος καὶ τοῦ συναγορεύειν ἅψασθαι βουληθείη, μετ’ εὐνοίας τῆς σῆς καὶ τοῦτο ποιῶν διατελείτω. Μαξίμῳ.
Ep 1274 1	Οὐκοῦν ἡ Αἴγυπτος σωτηρίαν τε ἔχει καὶ εὐνομίαν καὶ τὰς εἰς τὸ εὖ πράττειν ἀφορμάς, εἴπερ ἔχει τὸν ἀγαθὸν ἄρχοντα; σοφοὶ δὲ ἄρα ἦσαν οἱ περὶ τοῦ ποταμοῦ τοὺς νόμους τεθεικότες καὶ πλέον τι τῶν πολλῶν εἰδότες, εἰ δὴ τὸν αὐτὸν ἄνθρωπον ἐν μέσῳ τε εἶναι χρὴ τοῦ Νείλου καὶ κεκωλύσθαι Νεῖλον ὁρᾶν. ἀλλὰ σύ τε τὸν ποταμὸν ἴδοις ἀνοίγοντός σοι τοῦ νόμου τὴν ὄψιν ἐκεῖνός τε μετριώτατα ὁμιλήσειε.
Ep 1274 2	τουτὶ γὰρ οὐκ Αἰγυπτίους μόνον, ἀλλὰ καὶ πάντας εὔχεσθαι τοὺς οἰκοῦντας κάτω προσήκει. πάντες γὰρ λιμένες τὸν Αἰγύπτου δέχονται τόκον, ὅτι πλεῖστος δὲ γένοιτο νῦν, ὥστε καὶ μετὰ ταῦτα ᾄδεσθαι τοῦθ’ ὅτι Μαξίμου μέντοι τὴν Αἴγυπτον ἄγοντος λαμπραῖς γοναῖς ἔθρεψε τὴν οἰκουμένην ὁ ποταμό ς. ἐγὼ δὲ καλούμενος μὲν ὑπ’ αὐτοῦ καὶ σοῦ καὶ Αἰγυπτίων χαίρω, χρυσῆ γὰρ ὡς ἀληθῶς ἡ τιμὴ καὶ οὐχ ἥττων τῆς ὅτε ἐκαλούμην Ἀθήναζε, καὶ παλαιὸς δέ τις ἔρως ἐντέτηκέ μοι Νεῖλον ἰδεῖν καὶ ἐφ’ ἣν ἀναβαίνει γῆν μεστήν γε οὖσαν θαυμάτων.
Ep 1274 3	τίς δ’ οὐκ ἂν ἐπιθυμήσειεν ἧς Πλάτων, ἧς Σόλων, ἧς Πυθαγόρας; καιρὸς δὲ νῦν τε μάλιστα καὶ νῦν ἥκιστα.
Ep 1274 4	τὸ μὲν γὰρ σὴν εἶναι τὴν ἀρχὴν καιρὸν ποιεῖ, τὸ δὲ τοῖν ποδοῖν πάθος οὐκ ἐᾷ χρήσασθαι τῷ καιρῷ. σχεδὸν γὰρ μετὰ τῶν Ὀλυμπίων ἡ νόσος ἀρξαμένη μικρὰ μέν μοι τῶν γινομένων ἰδεῖν ἔδωκε, τὰ πολλὰ δὲ ἤκουον διηγουμένων. καὶ γὰρ ὅσα ἐν τῷ μεταξὺ χωλεύων ἐκινήθην, καὶ τὰ πεπαυμένα τῶν κακῶν ἀνηρέθισεν. εἰ οὖν τι βοηθήσειεν ὁ τῆς Μέμφιδος καὶ οἰκήτωρ καὶ φύλαξ, ἥξομεν αὐτοῦ διδόντος ὀψόμενοι τὴν πολυύμνητον Αἴγυπτον τοῖς ἅπασι καλλίω ταῖς σαῖς φροντίσι γεγενημένην.
Ep 1275 t	Τῷ αὐτῷ Φίλος ἐστί μοι Πορφύριος.
Ep 1275 1	καὶ γὰρ εἰ πράττει κακῶς, τοῦτό γε οὐκ ἀρνοῦμαι, ἄλλως θ’ ὅτε ἀδικεῖ μὲν οὐδέν, ἀτυχεῖ δέ. συκοφάνται γὰρ πάντες μὲν ἁπλῶς χαλεπὸν γένος, οἱ δὲ Αἰγύπτιοι, Ἡράκλεις, τῶν ἐν Λιβύῃ φοβερώτεροι θηρίων. τούτων αὐτὸν ἔδακνον δύο, καὶ νῦν ἀπέσταλται πρὸς ὑμᾶς ἐπ’ ἐλέγχῳ.
Ep 1275 2	δέομαι δὴ σοῦ τῷ μὲν ἀμῦναι, τῶν δ’, εἰ μὲν οἷόν τε, τὰς γλώττας ἐκτεμεῖν, εἰ δὲ μὴ τοῦτο, τοῦ γε λοιποῦ καθεῖρξαι δίκην αὐτοῖς ἐπιθέντα ἀτιμίαν. Οὐλπιανῷ.
Ep 1276 1	Σάλβιος ἀδελφοῦ μοι γεγένηται καλλίων καὶ λόγῳ καὶ ἔργῳ τὴν εὔνοιαν ἐπιδεικνύμενος πανταχοῦ. ὅταν οὖν ἐν τῷ μέρει κἀκείνῳ δέῃ 〈τι〉 γενέσθαι παρ’ ἐμοῦ, χαίρω διαλύων τι τοῦ χρέους. νῦν τοίνυν ὑπὲρ γυναικὸς προσηκούσης μὲν αὐτῷ κατὰ γένος, ὑπ’ ἀνθρώπων δὲ θρασυτέρων ἐλαυνομένης γράφω βουλόμενος αὐτὴν ὧν τε πέπονθε δίκην λαβεῖν ἀδείας τε πρὸς τὸν ἔπειτα χρόνον τυχεῖν.
Ep 1277 t	Δατιανῷ. Παγκράτιος καὶ πολίτης ἐμὸς καὶ ἡλικιώτης καὶ συμφοιτητὴς καὶ φίλος καὶ παῖς ἀνδρὸς πάλαι ποτὲ πράττοντος ὃ νῦν ἐγώ.
Ep 1277 1	καὶ πολλά γε τῆς ἐκείνου τέχνης ἀγάλματα πολλαχοῦ τῆς οἰκουμένης λάμπει. τιμῶμεν δὴ καὶ ἰδίᾳ καὶ δημοσίᾳ τοὺς ἐξ ἐκείνου χάριν ἀποδιδόντες τῆς δόξης, ᾗ κεκόσμηκε τὴν ἡμετέραν πόλιν. μέλλων οὖν καὶ τούτῳ βοηθεῖν καὶ διὰ τῆς σῆς γνώμης, ᾗ τὸ εὖ ποιεῖν ἐν μελέτῃ, προθύμως ἦλθον ἐπὶ τὴν ἐπιστολήν.
Ep 1277 2	ἄνευ γὰρ τοῦ μὴ εἶναι καλὸν φίλον ἄνδρα περιιδεῖν οὐδ’ ὡς οὐκ ἔστι μοι παρὰ σοὶ δύναμις, εἶχον εἰπεῖν· καὶ γὰρ ἔστι καὶ οὐ λανθάνει. φησὶ τοίνυν ὁ Παγκράτιος μικρὰ ἔχων μεγάλα εἰσπράττεσθαι καὶ οὐκ ὀρθῶς ἐν τρίτοις ἠριθμῆσθαι.
Ep 1277 3	γίνεσθαι γὰρ ἐκ τοῦ εἰκότος τῶν ἐσχάτων εἶναί τε οὔτε τὴν βλάβην αὑτῷ κούφην τήν τε ὕβριν βαρυτέραν ἢ Μυσῶν λεία τοῖς βουλομένοις. οὗ δὴ καὶ δεινὰ πεπονθέναι λέγοντος καὶ πιστεύοντος μίαν ἔσεσθαι τούτῳ λύσιν, εἰ σὺ μεταστήσαις, δεόμεθα καὶ ἡμεῖς ἀφελεῖν τι τῆς ὑπερβολῆς, ὅπως τὸ σύμμετρον μὲν ἐκεῖσε πέμπῃ, παρ’ ἡμῖν δὲ ὕμνους ᾄδῃ τοῦ τὸ δίκαιον αἰδουμένου.
Ep 1278 t	Μαξίμῳ. Ὧρος καὶ Φάνης λαμπρὸν μὲν ἐποιησάτην τὸν ἑαυτοῖν πατέρα, λαμπρὰν δὲ τὴν Αἴγυπτον, ὁ μὲν Ὀλύμπια νενικηκώς, ὁ δὲ νικήσας ἄν, εἰ μή τις φθόνος ἀντέκρουσεν.
Ep 1278 1	ἐστὸν δὲ καὶ τἄλλα βελτίστω τε καὶ χρηστὼ καὶ οὐδὲ τῶν ἡμετέρων ἀπείρω παλαισμάτων. ἀνθ’ ὧν αὐτός τε αὐτὼ φιλῶ καὶ σὲ βουλοίμην ἂν τοσούτῳ χρησιμώτερον τῶν παρ’ ἐμοῦ τοῖν νεανίσκοιν ἐσομένων, ὅσον τοὐμὸν μὲν λόγοι, τὸ σὸν δὲ ἔργα.
Ep 1279 t	Εὐτοκίῳ. Βάλης εὔπαις ἐν Ὀλυμπίοις ὤφθη τὸν μὲν ἰδὼν τοῖν υἱέοιν στεφανούμενον, τὸν δὲ τῶν στεφανωθέντων ἀμείνω.
Ep 1279 1	ἐγὼ δὲ αὐτοῖν ἠγάσθην μὲν καὶ τὰ τοῦ σώματος ἔργα, φιλῶ δὲ πλέον τὴν ἀμείνω περὶ τὸν Ἑρμῆν θεραπείαν. ἐτίμησαν γὰρ οὐ παλαίστρᾳ μόνον, ἀλλὰ καὶ λόγων ἐπιθυμίᾳ τὸν θεόν. εἴτ’ οὖν παρ’ ὑμῖν τινα διατρίβοιεν χρόνον, γνώτωσαν τὴν σὴν φύσιν, εἴτε διατρέχοιεν, δεῖξον σεαυτὸν καὶ ἐπειγομένοις.
Ep 1280 t	Πρισκιανῷ. Σύμμαχον καὶ φίλον ὄντα μοι καὶ ἄνδρα, ὥς γε ἐμαυτὸν πείθω, γενναῖον δίδωμί σοι παρακαταθήκην καὶ διττὴν αἰτῶ χάριν, μίαν μέν, ὅπως ἴδοις αὐτὸν ἡδέως, ἑτέραν δέ, μάλα σὴν δοῦναι.
Ep 1280 1	τοὺς γὰρ ἀδικοῦντας τὸν ἄνθρωπον ἀξιῶ μὴ πάντα αὐτοῦ καταγελᾶν τὸν χρόνον, ἀλλ’ ἔργῳ μαθεῖν ὅτι νῦν τῶν νόμων ἐστίν, οὐκ αὐτῶν τὸ κρατεῖν. ἴσθι δὲ ὅτι τὰ αὑτοῦ μὲν Συμμάχου κομιζομένου σφόδρα ἂν ἡσθείην· εἰ δ’ ἑτέρως ἀποβαίη, συμφορὰν ἐμαυτοῦ τὸ πρᾶγμα ποιήσομαι.
Ep 1281 t	Οὐλπιανῷ. Καὶ προῄδειν ταῦτα καὶ προεῖπον ὡς ἔσται καὶ γενομένων ἥσθην καὶ πρὸς ἅπαντας ἀπαγγελῶ, τίς σὺ καὶ περὶ τὸ δίκαιον καὶ πρὸς ἐμέ.
Ep 1281 2	καὶ ταῦτα ἀκούουσι μὲν ἄνθρωποι παρ’ ἡμῶν, ἀκούουσι δὲ θεοί· οἱ μέν, ὅπως σε μεθ’ ἡμῶν ἐπαινοῖεν, οἱ δ’, ὅπως σε καὶ σώζοιεν καὶ διδοῖεν ἀρχὰς ἐπ’ ἀρχαῖς. τὸν γὰρ ὧδε ἐπιστάμενον ἄρχειν ζημία τῶν πόλεων ἰδιωτεύειν. μέγα μὲν οὖν τὸ πατρῴων ἐπιβῆναι τὸν Χρυσόγονον ἀγρῶν, οὓς πρότερον πόρρωθεν ἰδὼν ἐδάκρυεν· οὐ μικρὸν δὲ καὶ τὸ ἔχειν οὐδὲν ἀναλίσκοντα πανταχῆ κομίζεσθαι.
Ep 1281 3	μεῖζον δ’ ἂν ἀμφοτέρων ὑπάρξειεν, εἰ μαθητήν γε σαυτοῦ τὸν ἄνθρωπον νομίσαις καὶ δείξαις ἕνα τῶν ἐπισταμένων λέγειν. Τῷ αὐτῷ.
