Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
12 8,22 9	Μέλλοντος δὲ καθίστασθαι τοῦ φοσσάτου καὶ μανδάτα δίδοσθαι ἀφ’ ἑσπέραν, καὶ εἰς τὸ αὖγος κατὰ τὴν αὐτὴν ἡμέραν 〈τοῦ κινήματοσ〉 τὰ βούκινα τρισάκκις σημαίνειν καὶ τότε κινεῖν. Καὶ κατὰ τάξιν τὰ μέρη ἐξέρχεσθαι, πρῶτον τοὺς ὁπλίτας καὶ τότε τὰς ἁμάξας. Ὅτι ἀναγκαία ἡ τῶν τριβόλων χρῆσις.
12 8,22 10	Ἐὰν γὰρ ἢ πετρώδης ὁ τόπος εὑρεθῇ καὶ μὴ δυνηθῶσιν ὀρύξαι, ἢ βραδεῖα ἡ ὥρα τὴν τοιαύτην τῷ στρατῷ παρέχουσι χρῆσιν ἐν τῇ στρατοπεδείᾳ, αἱ τρίβολοι δεόντως ἀποτιθέμεναι, ἣν τὸ ὄρυγμα παρέχει. Ὅτι διαφόρους μὲν θέσεις στρατοπεδείας ἤτοι φοσσάτου οἱ ἀρχαῖοι παραδεδώκασιν, ἐπαινεῖ δὲ ὁ συγγραφεὺς τὴν παραμήκη τετράγωνον ὡς εὔτακτον καὶ ἀναγκαῖαν.
12 8,22 11	Καὶ τὰ πλάγια καὶ ἐφ’ ὕψους ἄπληκτα πλείονα τὸν ἐν αὐτοῖς στρατὸν παρὰ τοὺς ἴσους ἢ ἐγκειμένους τόπους δείκνυσιν. Ἐὰν οὖν πρὸς ἐπίδειξιν χρεία γένηται 〈διὰ〉 ἐξπλοράτορας, τοὺς πλαγίους δεῖ ἐπιλέγεσθαι τόπους, εἴγε μάλιστα καὶ τὰ ἐπιτήδεια ἔχουσι τῆς ἀναγκαιοτέρας χρείας.
12 8,22 13	Δεῖ ἀνόσους καὶ καθαροὺς ἐπιλέγεσθαι τόπους εἰς ἄπληκτα καὶ μὴ χρόνον πολὺν ἐνδιατρίβειν ἐν ἑνὶ χωρίῳ, εἰ μήπω περί τε ἀέρας καὶ τὰ ἐπιτήδεια χρειῶδές ἐστιν, διὰ τὸ μὴ λοιμώττειν τὸν στρατὸν Ἀλλὰ καὶ τὰς σωτηριώδεις χρείας μὴ γίνεσθαι ἔσω ἐν τῷ φοσσάτῳ, ἀλλ’ ἔξωθεν, διὰ τὴν δυσωδίαν· καὶ μάλιστα ἐὰν ἐπιμένῃ διά τινα χρείαν τὸ φοσσάτον ἐν ἑνὶ τόπῳ.
12 8,22 15	Ὅτι ἐν τοῖς ἀναγκαίοις καιροῖς βραχὺν μὲν ὄντα τὸν ποταμὸν ἐν μέσῳ δεῖ περιλαμβάνειν τοῦ χάρακος ὡς εὔβατον τοῖς τοῦ στρατοῦ, τραχὺν δὲ καὶ μέγαν ἐκ πλαγίου διὰ τὸ εἰς ὀχύρωμα γενέσθαι τοῦ στρατοῦ. Καὶ τοῦ ποταμοῦ παρατρέχοντος συμμέτρου οὐ δεῖ τοὺς ἵππους εἰς ποτὸν ἐξάγειν κατὰ τὸ ἄνωθεν μέρος, ἵνα μὴ τῇ κινήσει τῶν ποδῶν θολερὸν καὶ ἀχρεῖον τὸ ὕδωρ ποιήσωσιν, ἀλλὰ κάτωθεν μᾶλλον.
12 8,22 16	Εἰ δὲ ὀλίγος ἐστίν, δι’ ἀγγείων αὐτοὺς ποτίζειν καὶ μὴ ἐπαφιέναι αὐτοὺς εἰς τὸ ταράξαι αὐτό. Ὅτι οὐ δεῖ πλησίον λόφων τοῖς ἐχθροῖς εὐβάτων σκηνοῦν, μήπως ἐκεῖθεν τοὺς ἐν τῷ στρατοπέδῳ κατατοξεύσωσιν εὐκόλως.
12 8,22 18	Ὅτι πρὶν ἢ τοὺς πολεμίους ἐγγίσαι οὐ δεῖ ἐπιτηδεύειν πλησίον ὕδατος τὰ ἄπληκτα ποιεῖν, καὶ μάλιστα τοὺς καβαλλαρίους, ἵνα μὴ καὶ τὰ ἄλογα καὶ οἱ ἄνδρες ἐν συνηθείᾳ τῆς πολυποσίας γινόμενοι, ἐν καιρῷ 〈λείψεως ... ὕδατοσ〉 καρτερίας μὴ φέροντες ὀλιγωροῦσιν. Ὅτι οὐ δεῖ πρὶν ἢ τοὺς ἐχθροὺς ἐγγίσαι ἀναμεμιγμένους πεζοὺς μετὰ τῶν καβαλλαρίων ἐν τῷ φοσσάτῳ ἀπληκεύειν, ἀλλ’ ἔξωθεν μὲν, πλησίον δὲ τοῦ φοσσάτου, ἵνα μηδὲ στενοχωροῦνται, μηδὲ εὐαρίθμητον φαίνονται τοῖς κατασκόποις.
12 8,22 19	Δοκιμάσαι δὲ πρὸ ὀλιγῶν ἡμερῶν, εἰς πόσον διάστημα χωροῦνται καὶ πῶς ἀπληκεύουσιν, εἰ γένηται αὐτοῖς καιρὸς εἰσελθεῖν ἐν αὐτῶ. Τῶν δὲ ἐχθρῶν ἐγγιζόντων συνάπτεσθαι τοῖς πεζοῖς καὶ ἐν τῷ ἅμα ἐν τοῖς τεταγμένοις τόποις ἀπληκεύειν.
12 8,22 21	Ἐν τοῖς τοῦ πολέμου καιροῖς εἰς ὀχυρὸν τόπον τὰ ἄπληκτα ἐπινοεῖν καὶ φροντίζειν τῶν ἐπιτηδείων, μὴ μόνον τῆς τῶν ἀνθρώπων ἀποτροφῆς ὀλιγῶν ἡμερῶν, ἀλλ’, εἰ δυνατόν, καὶ τῶν ἀλόγων, διὰ τὸ ἄδηλον τοῦ πολέμου· καὶ ἐπισκέπτειν εἰς τὸ πρόγε ἁπάντων τὸ ὕδωρ δύνασθαι δηφενδεύειν ἀπὸ τῶν ἐχθρῶν, εἰ καιρὸς γένηται δεηθῆναι τοῦ φοσσάτου εἰς βοήθειαν. Ὥστε, ἐάν ἐστι κάμπος, ἐν ὧ ἡ συμβολὴ γίνεται, σπουδάζειν μὲν ἔχειν πάντως εἰς τὸν νῶτον ἢ ποταμὸν ἢ λίμνην ἢ ἕτερόν τι τοιοῦτον εἰς ὀχύρωμα.
12 8,22 23	Καὶ τὸ μὲν φοσσάτον ποιεῖν ὀχυρόν, τὰς δὲ ἁμάξας ἐπακολουθεῖν ἐν τάξει. Εἰ δὲ δύσβατός ἐστιν ὁ τόπος καὶ ἀνώμαλος, τὸν μὲν καραγὸν καὶ τὸν λοιπὸν τοῦλδον ἐν τῷ φοσσάτῳ καταλιμπάνειν μετ’ ὀλίγων τῶν ἁμαξελατῶν εἰς παραφυλακήν, τὴν δὲ παράταξιν πλησίον τοῦ φοσσάτου τάσσειν ἐν ἐπιτηδείῳ τόπῳ.
12 8,22 25	Εἰ γὰρ δύσβατοί εἰσιν οἱ τόποι καὶ μάλιστα καβαλλαρίων ὄντων τῶν ἐχθρῶν, ἀρκεῖ τῇ παρατάξει εἰς ὀχύρωσιν ἡ τοῦ τόπου δυσχέρεια. Εἰ γὰρ ἀκολουθοῦσιν αἱ ἅμαξαι ἐν τοῖς τοιούτοις τόποις καὶ ἐπωφελεῖς τοῖς τασσομένοις οὐκ εἰσίν, ἀλλὰ δυσμετάθετοι εὑρίσκονται. Ὥστε ἐπινοῆσαι τοῖς βουσὶ τῶν ἁμαξῶν, ἵνα ἐν τῷ ἀκολουθεῖν τῇ παρατάξει, εἰ χρεία γένηται ἀναμεῖναι τὰς ἁμάξας, μὴ διαταράσσωνται ὑπὸ τοῦ θορύβου τῶν ἐχθρῶν, ὑπὸ τῶν ὡς εἰκὸς βαλλομένων σαγιττῶν, καὶ ἀτακτοῦσαι ἐνοχλήσουσι τῇ παρατάξει· καὶ ἢ πεδικλοῦν ταύτας ἢ δεσμεῖν, ἵνα, ὡς εἴρηται, εἰ καί τινες ἐξ αὐτῶν ἀπὸ σαγιττῶν τιτρώσκωνται, μὴ διαταράσσουσι τοὺς πεζούς· διὸ οὐδὲ χρὴ πολὺ ἐγγὺς τάσσεσθαι αὐτάς.
12 8,22 27	Ὥστε, εἰ ὡς εἰκὸς γένηται χρεία ὀχλουμένῳ βοηθῆσαι τόπῳ ἢ προκαταλαβεῖν καὶ οὐ φθάσουσιν αἱ ἅμαξαι, ἵνα μὴ ἐμβραδύνωσιν, τὸ μὲν φοσσάτον καταλιμπάνειν ἐν ὀχυρῷ τόπῳ, παραλαμβάνειν δὲ τοὺς πεζοὺς καὶ τὴν δαπάνην αὐτῶν 〈καὶ〉 παρασκευάζειν βαστάζεσθαι ἢ διὰ βασταγῆς καμήλων ἢ διὰ τῶν ἐπὶ τούτῳ ἀφορισμένων ἵππων καὶ τὰς τριβόλους, καὶ οὕτως ἀπέρχεσθαι. Εἰ γὰρ γένηται καιρὸς φοσσάτου, τοῦ ὀρύγματος κατὰ τὸ δέον γινομένου καὶ τῶν τριβόλων ἀποτιθεμένων καὶ ἢ οἰκοδομῆς γινομένης ἔσωθεν ἢ χάρακος ἀπὸ ξύλου πηγνυμένου καὶ ἀποτιθεμένου· τὴν αὐτὴν ἀσφάλειαν ἔχει τὸ φοσσάτον, ἣν ὤφειλε μετὰ τοῦ καραγοῦ ἔχειν, μετὰ τὸ μηδὲ ἐμβραδύνειν, 〈ὥστε〉 καὶ ἐκ τούτου ὡς εἰκὸς βλάβην τινὰ προσγενέσθαι.
12 8,22 29	Ὥστε, ἐὰν οἱ καβαλλάριοι πλείους εἰσίν, ὀλίγοι δὲ οἱ πεζοὶ καὶ δοκεῖ μεῖναι τὸν τοῦλδον ἐν τῷ φοσσάτῳ, μὴ πάντας τοὺς πεζοὺς ἵστασθαι ἔσωθεν τοῦ φοσσάτου, ἀλλά τινας μὲν ἐν αὐτῷ παραφυλάττειν, τινὰς δὲ ἔξωθεν τῶν πορτῶν καὶ τῶν ὀρυγμάτων τοῦ φοσσάτου ἐν τάξει ἵστασθαι, ἵνα, ἐὰν συμβῇ τῶν καβαλλαρίων τροπὴν γενέσθαι καὶ μὴ σύνεισιν αὐτοῖς πεζοί, αὐτοὶ δεχόμενοι ἄδειαν αὐτοῖς διδόασιν ἢ ἀντιστραφῆναι κατὰ τῶν ἐχθρῶν ἢ εὐτάκτως ἐπέρχεσθαι τῷ φοσσάτω καὶ μὴ στενοχωρεῖσθαι ἐν ταῖς πόρταις καὶ κινδυνεύειν. Ποίων δεῖ φροντίσαι τὸν στρατηγὸν τοῦ πεζικοῦ κατὰ τὴν ἡμέραν τοῦ πολέμου; Ὥστε ἐὰν πολλοί εἰσιν οἱ καβαλλάριοι τῶν ἐναντίων καὶ περιττόν ἐστιν τὸ πλῆθος αὐτῶν, καὶ καραγὸς οὐκ ἀκολουθεῖ τοῖς ἡμετέροις, μὴ ἐπιτηδεύειν εἰς ἴσον καὶ ἀναπεπταμένον τόπον παρατάσσεσθαι αὐτόν, ἀλλὰ μᾶλλον εἰς δυσχερεῖς καὶ δυσβάτους τόπους, τουτέστιν ἢ ἑλώδεις ἢ πετρώδεις καὶ ἀνωμάλους τόπους ἢ δασεῖς.
12 8,23 2	Ὥστε φροντίζειν τὰς κατὰ τοῦ νώτου καὶ τῶν πλαγίων ἐπελεύσεις ἀσφαλίζεσθαι διὰ σκούλκας. Ὥστε ὀλίγους σκουτάτους ἔχειν ἐκ περισσοῦ εἰς τὰ ἄκρα τῶν ἁμαξίων, καὶ τὸ μέσον αὐτῶν, ἵνα, ἐὰν χρεία γένηται, ἐπιβοηθοῦσιν ἐκ τῶν ὡς εἰκὸς βουλομένων παρενοχλεῖν ἐχθρῶν ἢ αὐταῖς ἢ τῇ παρατάξει ἢ τοῖς καβαλλαρίοις αὐτῆς.
12 8,23 4	Ὥστε πολλοὺς καβαλλαρίους ἐν ταῖς πεζικαῖς μάχαις μὴ βάλλειν, ἀλλ’ ὀλίγους καὶ κατὰ τῶν ἄκρων τῆς παρατάξεως, ἄχρι τριῶν ἢ τεσσάρων χιλιάδων ζαβάτων ἢ καὶ χρησίμων, τοὺς ὀφείλοντας, εἰ καιρὸς γένηται, τοῖς τρεπομένοις τῶν ἐναντίων ἐπιτίθεσθαι· τὸ γὰρ τούτου πλέον οὐκ ἀσφαλές. Ὥστε ἐὰν οἱ ἐχθροὶ καβαλλάριοι ὄντες ἐδειλίασαν πρὸς τὴν πεζικὴν μάχην καὶ πολλοί εἰσιν οἱ καβαλλάριοι ἡμῶν, ὀλίγοι δὲ οἱ πεζοί, τοὺς μὲν καβαλλαρίους τάσσειν ἔμπροσθεν τρία μέρη, ὄπιθεν δὲ τὴν πεζικὴν παράταξιν ἐπακολουθεῖν ἐν τάξει ἀπὸ ἑνὸς ἡ δευτέρου μιλίου τῶν καβαλλαρίων καὶ παραγγεῖλαι τοῖς καβαλλαρίοις περαιτέρω τοῦ διαστήματος τούτου μὴ ἀφίστασθαι τῆς πεζικῆς παρατάξεως.
12 8,23 5	Εἰ δὲ καὶ βαρυθῶσιν ὑπὸ τῶν ἐχθρῶν διὰ τῶν πλαγίων καὶ τοῦ νώτου τῆς παρατάξεως προστρέχειν, καὶ μὴ διὰ τῆς ὄψεως, ἵνα μὴ διαλύσωσιν αὐτήν. Ὥστε ἐν τῇ ἡμέρᾳ τῆς συμβολῆς μὴ σπουδάζειν τὴν πεζικὴν παράταξιν ἐπὶ πολὺ διάστημα κινεῖν περαιτέρω δύο μιλίων ἔξωθεν τοῦ φοσσάτου, ἵνα μὴ τῷ βάρει καὶ τῇ ὁπλίσει συντρίβεται.
12 8,23 6	ἀλλ’, ἐὰν ὑπερτίθενται οἱ ἐχθροὶ τὴν συμβολήν, καθίζεσθαι αὐτοὺς καὶ ἀναπαύεσθαι μέχρις οὗ μέλλουσιν ἐγγίζειν. Εἰ δὲ καιρὸς θέρους ἐστίν, καὶ τὰς κασσίδας αὐτῶν ἐπαίρειν, ἵνα διαπνέωνται αἱ κεφαλαὶ αὐτῶν. Οἶνον δὲ ἐν τοιούτοις καιροῖς μεταλαμβάνειν αὐτοὺς οὐ χρή, ἵνα μὴ ἀναζέων οὗτος σκοτώσῃ αὐτούς, ἀλλ’ ὕδωρ ἐν ταῖς ἁμάξαις βαστάζειν καὶ καθ’ ἕνα διδόναι τοῖς δεομένοις, ὡς εἰσὶν ἐν τῇ παρατάξει αὐτῶν. Ἔντομος παράδοσις τῶν προειρημένων γυμνασιῶν, ἣν δεῖ εἰδέναι τοὺς τριβούνους ἤτοι τοὺς ἄρχοντας τῶν πεζικῶν ταγμάτων.
12 8,24 1	Παραγγέλλει ὁ μανδάτωρ· Cum silentio mandata captate! Non vos turbatis! Ordinem servate! Bando sequite! Nemo demittat bandum suum! Nemo demittat ordinem! καὶ κινοῦσι πρᾴως, ἡσύχως καὶ ἴσως ἄνω τὰ ξίφη τῶν κονταρίων κατέχοντες, ἐθιζόμενοι ταῦτα φωνῇ καὶ νεύματι διὰ σημείου κινεῖν καὶ ἵστασθαι ἢ λεπτύνεσθαι ἤτοι μερίζεσθαι. Καὶ παραγγέλλει· Exi a stema! Περιπατεῖν ἴσως καὶ συντεταγμένως ἐπὶ διάστημα.
12 8,24 3	Ἐάν τις προκύψῃ τοῦ τάγματος, παραγγέλλει· Dirige frontem! Πυκνοῦσθαι ἤτοι σφίγγεσθαι κατὰ βάθος καὶ μῆκος.
12 8,24 4	Καὶ παραγγέλλει· Iunge fulco! Περιπατεῖν.
12 8,24 5	Καὶ παραγγέλλει· Ami fulco! Συμβάλλειν σχηματικῶς ποτὲ μὲν μετὰ βεργίων, ποτὲ δὲ μετὰ σπαθίων γυμνῶν.
12 8,24 6	Καὶ ἑνὸς κράζοντος Adiuta! ἀποκρίνονται πάντες ὁμοφώνως· Deus! Γυμνασία δευτέρα.
12 8,24 7	Μερίζεσθαι πρὸς διφαλαγγίαν. Καὶ παραγγέλλει· Primi state, secundi exite! Δεξιὰ καὶ ἀριστερὰ κλίνεσθαι.
12 8,24 8	Καὶ ἐὰν θέλῃ δεξιά, παραγγέλλει· Clina dextra! Ἐὰν δὲ ἀριστερά· Clina senextra! 〈Παραγγέλλει·〉 Move! Καὶ κινεῖ.
12 8,24 10	〈Παραγγέλλει〉· Redi! Καὶ ἀποκαθίσταται. Φυλάττεσθαι ἀμφιστόμως ἑκατέρωθεν.
12 8,24 11	Καὶ παραγγέλλει· Undique servate! 〈Παραγγέλλει〉.
12 8,24 12	Redi! Καὶ ἀποκαθίσταται. Μετατίθεσθαι δεξιὰ καὶ ἀριστερά.
12 8,24 13	Ἐὰν δεξιά, παραγγέλλει· Despone dextra! Ἐὰν ἀριστερά. Despone sinestra Ἀραιοῦσθαι ἤτοι πλατύνεσθαι.
12 8,24 14	Καὶ ἐὰν θέλῃ δεξιά, παραγγέλλει· Largia dextra! Εἰ δὲ ἑκατέρωθεν· Largia ad ambas partes! Βαθύνεσθαι ἤτοι διπλοῦσθαι τὸ βάθος τῶν ἀκιῶν.
12 8,24 15	Καὶ ἐάν εἰσιν ἀπὸ ὀκτὼ ἢ ἀπὸ τεσσάρων, παραγγέλλει· Intra! Μεταβάλλεσθαι κατὰ νῶτον.
12 8,24 16	Καὶ παραγγέλλει· Transforma! Ὅτι τοῖς μὲν τριβούνοις τὰ προειρημένα δεῖ κεφάλαια ἐγγράφως δοθῆναι, τοῖς δὲ μεράρχαις αὐτῶν καὶ ταῦτα καὶ διὰ τί γίνονται τὰ σχήματα.
12 9 t	Καταγραφὴ φοσσάτου. Δεῖ εἰδέναι ὅτι ἡ μὲν ἔξωθεν τοῦ καραγοῦ χαραγὴ δηλοῖ φόσσαν, τὰ δὲ λάμβδα τριβόλους, τὰ δὲ ἐν τῷ μέσῳ τένδας.
12 9 2	Χρὴ δὲ τὴν μὲν σταυροειδῆ πλατεῖαν ἔχειν πεντήκοντα ποδῶν πλάτος, τὴν δὲ περὶ τὰς ἁμάξας ἔσωθεν διακοσίων. Χρὴ δὲ καὶ ἔξωθεν τῶν βόλων ὄρυγμα γίνεσθαι, ἵνα μὴ ἄλογα ὡς εἰκὸς ἢ ἄνθρωποι τοῦ φοσσάτου ἀγνοοῦντες περιπίπτουσιν ἐν αὐτοῖς.
12 9,1 t	ΟΥΡΒΙΚΙΟΥ ΕΠΙΤΗΔΕΥΜΑ Αἱ μὲν προτεταγμέναι τάξεις εὑρημάτων παλαιῶν εἰσιν ἀνδρῶν, ἐκτεθεῖσθαι πρὸς στρατιώτας μεμελετηκότας δέχεσθαι τὰς τῶν πολεμίων προσβολάς· δι’ ὃ καὶ ῥᾴδιον ἦν αὐτοῖς μετασχηματίζεσθαι εἰς ἀπάτην τῶν ἐχθρῶν.
12 9,1 2	Ἐπειδὴ δὲ νῦν ἀθρόως εἰς ἐκδίκησιν τῶν Ῥωμαϊκῶν πραγμάτων θεόθεν κινούμενος ὁ καλλίνικος ἡμῶν καὶ εὐσεβέστατος δεσπότης ὥρμησε καὶ συμβαίνει τοὺς μὲν ἐμπείρους τοῦ πράγματος ἀπολιμπάνεσθαι διὰ γῆρας, τοὺς δὲ νεωτέρους ἐν τοῖς κινδύνοις μανθάνειν τὴν τῶν πολεμίων πεῖραν, ἐκ δὲ τούτων ἀθυμίαν καὶ ὄκνον προσγίνεσθαι τοῖς κάμνουσιν, ἐτόλμησα μίαν παράταξιν προσθεῖναι τὸν μὲν στρατιώτην φιλάττουσαν ἄτρωτον, τοὺς πολεμίους δὲ κατεργαζομένην, μὴ ῥηθεῖσαν μὲν παρὰ τῶν παλαιῶν, ἐπινοηθεῖσαν δὲ παρ’ ἐμοῦ, λογισάμενος ὅτι συγγνώμην ἕξει παρρησία κοινὸν συμφέρον γνωρίζουσα τῷ γαληνοτάτῳ πάντων δεσπότῃ. Οὐδὲ γὰρ ὡς φθέγγεσθαι περὶ πολέμων καταθαρρῶν, ἀλλ’ ὡς εὐτυχῆ δουλείαν ἐκπληρῶν ἐπὶ τὸ προσθεῖναι τότε σχῆμα καὶ τὸ χρήσιμον τῆς τάξεως ὥρμησα. Χρησιμεύσει δὲ μάλιστα τὸ ταύτης ὄφελος πεζοῖς πολεμοῦσι πρὸς ἱππέας. Ὄνομα δὲ τῆς φάλαγγος οἰκεῖον τῷ γράμματι, κάστρον κινούμενον κατὰ τετράγωνον σχῆμα τῆς τῶν στρατιωτῶν πορείας γινομένης, ὡς δείκνυσιν ἡ ὑποκειμένη γραφή.
12 9,1 4	Δεῖ τοῖς ἐκ τῶν πλευρῶν ὁδεύουσιν ἀκολουθεῖν ζῷα, βαστάζοντα κανόνας καθηλωμένους καὶ ἑκάστην στρατιωτῶν δεκανίαν ἐξουσίαν ἔχειν τριῶν τοιούτων κανόνων, ὡς τὸ ζῷον τὸ ἓν ὑπουργεῖν δεκανίαις δέκα, καὶ ἄλλα ἐφεξῆς ἄλλαις. Καὶ ἐπειδ’ ἂν προσδοκηθῶσιν οἱ πολέμιοι, ἐκπηδῶντας στρατιώτας ἐπὶ τοσοῦτον πλάτος περιφράττειν δεῖ τοῖς κανόσι τὸ μέσον, ἐφ’ ὅσον οὐ φθάσει τὰ τῶν πολεμίων ἐφικέσθαι βέλη τῆς τάξεως καὶ προσηλοῦν μεγάλοις ἥλοις εἰς βάθος τοὺς κατακεκεντρωμένους κανόνας οὕτως, ὡς ἡ γραφὴ δείκνυσι, καὶ περιτρέχειν δι’ ὀλίγων γοργῶς τοῦτο ποιούντων τῶν νεωτέρων τὸ στράτευμα.
12 9,1 6	Ἔσται δὲ τὸ πᾶν εὐκόλως, ἐὰν οἱ καθ’ ἑκάστην πλευρὰν τούτου φροντίζοντες τὸ οἰκεῖον περιφράττουσι. Καὶ ὅτε μὲν ἡ πρώτη τῶν βαρβάρων προσβολή, ὃ νῦν ἔμπετον καλοῦσι, κατενεχθήσεται, δῆλον, καὶ οὐκ ἔσται τὸ τυχόν, μὴ πληγέντος Ῥωμαίου τοὺς τὰ πρῶτα τῶν βαρβάρων φρονοῦντας, οἷς τὸ προκατελαύνειν σύνηθες, πεσόντας τοῖς ἵπποις βάλλεσθαι μὲν ὑπὸ Ῥωμαίων, συμπατεῖσθαι δὲ παρὰ τῶν οἰκείων, ἀπροσδοκήτως ὄπιθεν ἐπενεχθέντων.
12 9,1 8	Ὑπάρξει δὲ τῆς τάξεως τὸ ῥᾳδίως φονεύειν τοὺς πολεμίους ἢ ἐπὶ ἁμαξῶν βαλλίστρας ἔχοιεν ἐκ τῶν τεσσάρων πλευρῶν ἐργαζομένας καὶ μάλιστα κατ’ ἐκείνου τοῦ μέρους, καθ’ οὗ ἂν πολέμιον ὁρμήσοι στράτευμα· ὡς γὰρ ἐν γυμνασίας σχήματι οἱ μὲν ἐκ τῶν βαλλιστρῶν ἀκοντίσουσιν εἰς τὸ τριπλάσιον τῆς ἐκείνων βολῆς, καὶ σώμασιν ἀνδρῶν ἢ ἵππων ἐμπήξουσι τὸν πεμπόμενον σίδηρον. Θεωρηταὶ δὲ τῆς τῶν πολεμίων καταφορᾶς ἔσονται οἱ ἐν τῷ μέσῳ μετὰ τῶν ὅπλων ἑστῶτες στρατιῶται, ἵνα, εἰ ἴδοιεν τοὺς πολεμίους ἐθέλειν ἀποβάντας τῶν ἵππων ἀνορύττειν τοὺς κανόνας, καὶ αὐτοὶ νενευκότας αὐτοὺς καὶ ἀσχολουμένους ἐξ ἐπιδρομῶν ἀκοντίζουσιν, εἰ καὶ οὐκ ἐάσωσιν αὐτοὺς αἱ βαλλίστραι σχολὴν ἀγαγεῖν εἰς ἐρευνᾶν τῆς τῶν κανόνων ἀναλήψεως, οὐδὲ ὁ προεμπαρεὶς αὐτῶν ὄχλος.
12 9,1 10	Δῆλον γὰρ ὅτι, εἰ συμπίπτοιεν οἱ ἵπποι, κατὰ τῶν ἥλων μένουσιν κείμενοι, καθ’ ὧν ἂν πρῶτον ἀπιστῶσιν. Ἐπειδὴ δὲ καὶ ὀλίγων ἀνδρῶν σαγὴ οἶδεν ἐκδειματῶσαι τοὺς ἀκολουθοῦντας αὐτοῖς πανταχόθεν ὁρῶντας πίπτοντας, τοὺς δὲ τὴν μέσην τάξιν ἔχοντας ἀβλαβεῖς ἑστῶτας, δώσουσι νῶτα. Καὶ ἐξέσται τοὺς ἡμετέρους ἀναλεξαμένους τὰ παρὰ τῶν πολεμίων ἀκοντισθέντα βέλη ἔσω τῶν κανόνων τοῦ περιφράγματος σκυλεῦσαι μὲν τοὺς πεσόντας, ἀνασπάσαντας δὲ τοὺς κανόνας ἀφόβως ἐν ὁδοιπορίας σχήματι πάλιν διώκειν τοὺς πολεμίους καὶ τοῦτο ποιεῖν ἐφ’ οἷον ἂν ἔθνος πορεύεσθαι βούλοιντο ἐν ταῖς ἱππικαῖς ἐφόδοις ἔχον τὴν δύναμιν.
12 9,1 12	Εἰ δὲ δόξει πόνον ἔχειν τὸ καταπηγνῦσαι τοὺς κανόνας, λογισώμεθα μὲν ἀκίνδυνον ἐξ αὐτῶν ἀσφάλειαν, τὴν τῶν στρατιωτῶν εὐθυμίαν, τὴν εὔθυμον νίκην. Πόσα δὲ ἄλλα τοῖς ἐπὶ πόλεμον ἐξιοῦσιν ἐπιπονώτερα μηδὲν τοῦτον ἀγαθὸν προυποφαίνοντα· βασταγαὶ παπυλαιώνων, ἀσχολίαι περὶ τὴν τούτων κατάπληξιν, φοσσάτων ἢ σουδάτων ἐργασίας.
12 9,1 14	Τί δὲ οἱ βάρβαροι ἑαυτοὺς οὐ περιφράττουσιν ἁμάξαις, ἅς ἐστιν ῥᾴδιον ἀναλῶσαι τέχνῃ τῷ πυρί; Εἰ οὖν πάντα πόνον ἔχει διὰ τί δυσκόλως ὀφθήσεται κάματος ὁ πανταχοῦ τὴν δύναμιν ἡμῶν ἀκαταμάχητον ποιῶν; Μὴ τοίνυν, ἐπειδὴ πρῶτον ἐπινενόηται μηδὲ ἐν ἔργοις ἔτι τὴν ὠφέλειαν ἔδειξε καταφρονεῖσθαι ὡς παρὰ ἀπείρου πολέμων ἐκτεθεῖσαν· ἡ γὰρ Ἀρχιμέδους βοηθήσει τέχνη τοῖς στρατεύμασιν ἢ τὰς βαλλίστρας τεχνεσαμένη τὸ ἀκαταμάχητον ὅπλον καὶ οὐκ ἀσχολήσει τηλικοῦτον ὅπλον, οἷον οὐδὲν ἄλλο παρὰ τῆς σοφῆς τέχνης ἐπινενόηται.
