Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 1150b	εὖ γ’] καλῶς ἔχει lChalcb τὰ ἐμά Chalc.
book 1150c	παμβασίλει’] πάντων βασιλεύουσα Chis ἰσχύουσα Reg, βασίλισσα τοῦ παντός lh.
book 1150d	ἡ βασίλεια, ἡ βασιλίς καὶ ἡ βασίλισσα Cr(int.).
book 1150e	ἀπαιόλη] σοφιστικὴ δύναμις καὶ παραλογιστική Chis.
book 1151a	τὸ “ὥστε” ... σύναπτε· τὸ γὰρ ... μέσου κεῖται Reg(mrg.) (cf. 1151 Tr1/2).
book 1151b	δίκην] τιμωρίαν Lb, κρίσιν lChalc.
book 1152a	παρῆσαν] πλησίον Cant.2Va ἐκεῖσε Lb ὑπῆρχον CrCant.2lChalc, παρόντες ἦσαν h.
book 1152b	ἐδανειζόμην] ἀποφύγοιμι ἂν ChisRegPa τὴν δίκην Reg, τὰ χρή‐ ματα lChalc.
book 1153a	παρῶσι] παρατύχωσι Cr, ἕτεροι παρόντες Lb ὑπάρχωσι lChalc, παρόντες ὦσι h.
book 1153b	χίλιοι] πλεῖστοι δῆλον Cant.2.
book 1153c	τελευταῖος ... ἰάμβων Reg(int.) (= Tr1 1153c).
book 1154a	τὸ παρὸν σύστημα ἐκ κώλων συνέστηκεν ιηʹ, ὧν τὸ αʹ καὶ τὸ βʹ παιωνικὰ τρίμετρα βραχυκατάληκτα, ἐκ διιάμβου, παίωνος τρίτου καὶ ἀμφι‐ μάκρου· τὸ γʹ καὶ τὸ δʹ ἰαμβικὰ τρίμετρα καθαρά· τὸ εʹ καὶ τὸ Ϟʹ πενθημιμερῆ ἐκ βʹ δακτύλων καὶ συλλαβῆς, ἅτινα συνημμένως ποιοῦσι τὸ λεγόμενον ἐλε‐ γεῖον· καλεῖται δὲ τὸ τοιοῦτον μέτρον ἀρχιλόχειον· τὸ ζʹ ὅμοιον πενθημιμερές, ἐκ βʹ σπονδείων καὶ συλλαβῆς· τὸ ηʹ ὅμοιον πενθημιμερές, ἐκ σπονδείου, ἀναπαίστου καὶ συλλαβῆς, γινομένης συνιζήσεως εἰς τὸ “πρόβολος ἐμοί” τῶν λος καὶ ε συλλαβῶν εἰς μακράν· τὸ θʹ ἰαμβικὸν δίμετρον· τὸ ιʹ χοριαμβικὸν τρίμετρον ἐκ χοριάμβου, ἐπιτρίτου δʹ καὶ διιάμβου· τὸ ιαʹ μονόμετρον ἐκ δακτύλου καὶ ἀμφιμάκρου· τὸ ιβʹ ὅμοιον, ἐκ δύο δακτύλων· τὸ ιγʹ δακτυλικὸν πενθημιμερές· τὸ ιδʹ μονόμετρον ἐκ βʹ σπονδείων· τὸ ιεʹ ὅμοιον τῷ ιβʹ· τὸ ιϞʹ ὅμοιον, ἐκ βʹ ἀναπαίστων· τὸ ιζʹ ὅμοιον τῷ ιβʹ καὶ ιεʹ· τὸ ιηʹ ὅμοιον τῷ ιϞʹ· τὸ
book 1154a	γὰρ θι κοινή ἐστι συλλαβὴ ὡς λῆγον εἰς μέρος λόγου· χρῶνται δὲ ταῖς τοιαύταις κοιναῖς συλλαβαῖς οἱ ἰαμβογράφοι ἐν μόνοις δακτυλικοῖς καὶ ἀναπαιστικοῖς στίχοις, ἐν ἰαμβικοῖς δὲ οὐδαμῶς. ἐντεῦθεν ἰαμβικὰ κῶλα βʹ, τὸ αʹ δίμετρον βραχυκατάληκτον, τὸ δεύτερον μονόμετρον ἀκατάληκτον· καὶ ἐφεξῆς στίχοι ἰαμβικοὶ τρίμετροι ἀκατάληκτοι λεʹ, ὧν τελευταῖος ἐπ’ εὐτυχίαισιν ᾀστέον μοὐγκώμιον.
book 1154b	βοάσομαι] δωρικῶς Chis, χαρήσομαι Cr.
book 1154c	ἄρα] δή ChisReg, λοιπόν Va.
book 1154d alpha	ὑπέρτονον] ὑψηλήν, ὑπερδύναμιν Chis(paraphr; v. 1154—1168 carent glossis exc. 1154b.c et 1155a), ὑψηλόφωνον Cant.2, μεγίστην Lbh, μείζονα l καὶ ἔξοχον Lb.
book 1154d beta	(v.l.) ὑπέρτατον] γρ. Va ὑπέρτονον VaChalc.
book 1155a	ἰὼ] ἐπὶ χαρᾶς (= sch.vet. 1155a) ChisReg εἴληπται Reg, εἰς χαράν Ho, σὺν χαρᾷ b (h post 1154d. α), φεῦ CrVab.
book 1155b	κλάετ’] θρηνεῖτε Chis(paraphr.)lChalc.
book 1156a	τἀρχεῖα] τὰ δικαστήρια CrCant.2Lb (cf. sch.vet. 1156b), αἱ ἐκταγαί, οἱ δικασταί Lb, αἱ ἀρχαί Chalc (cf. sch.vet. 1156b), τὰ πρυτανεῖα Va(hic –χαῖα]) b.
book 1156b	ἀρχεῖα ἐλέγοντο καὶ τὰ δικαστήρια καὶ οἱ δικασταί, ὥσπερ πρυτα‐ νεῖα καὶ ἡ ἀρχὴ τῶν πρυτάνεων καὶ αἱ ἐκταγαί, ἤγουν τὰ ὀφειλόμενα πρὸς ἀπολογίαν τῶν ἀντιδίκων ἐν τοῖς πρυτανείοις. ἀρχὴ δὲ ἦν καὶ ἡ τῶν πρυτάνεων ἐν Ἀθήναις.
book 1156c	ἀρχεῖα τὰ κεφάλαια, ἀρχεῖον δὲ τὸ δικαστήριον καὶ τὸ παλάτιον, ἐν ᾧ ἐστιν ἄρχων.
book 1156d alpha	τόκοι τόκων p.i.m.] οἱ γὰρ ... γεννῶσιν Reg (cf. 1156b Th1).
book 1156d beta	τόκοι τόκων] οἱ κάματοι τῶν καμάτων Cant.2, αἱ αὐξήσεις τοῦ χρέους Va.
book 1157a	με] εἰς ἐμέ Cr.
book 1157b	φλαῦρον] ἀπρεπές Chis(paraphr.)Regh, κακόν CrCant.2lChalch· ἀττικόν Cr, ἐπιζήμιον Lb, ἄσχημον Chalc.
book 1158a	οἷος] θαυμαστικόν Chis(paraphr.; = sch.vet. 1158b), θαυμαστός Reg, δυνατός Cr, ὁποῖος Cant.2lChalch.
book 1158b	ἐμοὶ] ἐμοῦ Cr, ὑπὲρ ἐμοῦ Lb.
book 1159	δώμασι] σχολῇ Chis(paraphr.), οἰκήματι Cr, οἰκήμασι Cant.2, οἴκοις lChalc, διδασκαλείοις h.
book 1160	ἀμφήκει] ἀμφοτέρωθεν κοπτικῇ Va τεμνούσῃ b ἠκωνημένῃ (sic) Vict (Su. I 151, 11).
book 1161a	λάμπων] καλλωπιζόμενος Va.
book 1161b	πρόβολος] ὑπέρμαχος Cr, προστάτης Cant.2 (cf. sch.vet. 1161b et Mosch. ad Tr2 1161b), πρόμαχος lChalcb.
book 1161c	–λος ἐμοί] συνίζησις Reg.
book 1162a	σωτὴρ] φύλαξ Vah.
book 1162b alpha	βλάβη] λύπη Cr.
book 1162b beta	ἀνιαρός] λυπηρός Cant.2lChalcb, βλαβερός (D).
book 1163	λυσανίας] ἐλευθερωτής Chis(paraphr.), λύων τὰς λύπας Lb, δυνά‐ μενος λῦσαι Lb λύειν μέλλων Chalc τὰς θλίψεις LbChalc, λύων τὰς θλίψεις hA.
book 1164a	κάλεσον] εἰπέ Cr, φώνησον LbChalc, ἐλθεῖν Palh.
book 1164b	τρέχων] σπουδάζων Cr.
book 1165a	ὁ Εὐριπίδης ἐν τῷ τῆς Ἑκάβης δράματι δι’ αὐτῆς φησιν· “ὦ παῖ παῖ”, Πολυξένη δηλονότι, “ἔξελθ’ ἔξελθ’ οἴκων”.
book 1165b	παίζει ὁ Ἀριστοφάνης ἐνταῦθα h τὸν Εὐριπίδην τὴν Ἑκάβην εἰσάγοντα λέγουσαν οὕτω Va πρὸς τὴν Πολυξένην ταῦτα h.
book 1167a	πρὸς τὸν Φειδιππίδην ὁ λόγος Chis(mrg. ὦ alt. ⸓).
book 1167b	φίλος ... φίλος] φίλε ... φίλε VaChalc.
book 1168	λαβών] τὸν σὸν Chalc υἱόν ChisChalc, αὐτόν lh.
book 1169alpha	ἰὼ] φεῦ Cant.2 Harl 5. (ἰῶ text. b), ἐπὶ χαρᾶς Chalc.
book 1169beta	ταῦτα καὶ ἐπὶ χαρᾶς Cant.1(m3 c. t.).
book 1169/70alpha	ἰὼ ἰὼ] ἐνταῦθα ἐπὶ χαρᾶς ἀμφότερα Chis.
book 1169/70beta	καὶ τὸ “ἰὼ” καὶ τὸ “ἰοῦ” ἐνταῦθα ἐπὶ χαρᾶς λαμβάνεται· τὸ δὲ “ἰοῦ” ... λαμβανόμενον περισπᾶται.
book 1170a	ἰοὺ ἰού] φεῦ l.
book 1170b	τὸ “ἰῶ” καὶ b τὸ “ἰοῦ” τὸ Ho ἐπὶ χαρᾶς περισπᾶται Chish, τὸ δὲ θρηνητικὸν ὀξύνεται Ho.
book 1171	χροιὰν] χρῶμα CrCant.2h.
book 1172a	ἰδεῖν ... πρῶτον] εὐθὺς ἀπὸ τῆς πρώτης θέας Reg (cf. sch.vet. 1172b).
book 1172b	ἰδεῖν] τινὰ σέ Chis, κατιδεῖν Cr, θεάσασθαι Cant.2, βούλομαι lChalch γνῶναι l.
book 1172c	ἐξαρνητικός] ἔχεις δύναμιν ἀρνεῖσθαι Cr.
book 1173a	κἀντιλογικός] ἔχεις δύναμιν ἀντιλογεῖσθαι Cr, δυνάμενος ἀντιλέ‐ γειν lChalch.
book 1173b	τοὐπιχώριον] λόγιον δηλονότι Chis(τοῦ–]), τὸ σύνηθες Cant.2 τῆς χώρας Cant.2Va(τὸὐ–]Cant.2), τὸ τοπικὸν Lb σύνηθες Chalch ἔθος LbChalc (hic τοῦ ’π–]).
book 1174a	ἀτεχνῶς] φανερῶς ChislChalch (cf. Tz 1173, l. 17), ἀληθῶς, προδήλως Cant.2.
book 1174b	ἐπανθεῖ] αὐξάνει Cr, ἐπικρατεῖ, ὑπάρχει Lb ἐν σοί CrLbChalch.
book 1174c	τί] λόγιον Chis.
book 1174d	δοκεῖν] συμβαίνει ParBa(m3).
book 1174e	διαβάλλει ἐντεῦθεν τοὺς Ἀθηναίους ὡς πρὸς ἀ[πει]λὰς ὥρμων τοῖς ἀπαντῶσιν ἀνδ[ράσιν].
book 1175	κακουργοῦντ’] κακὰ ἐργαζόμενον lb, κακότροπον ὄντα Chalc.
book 1176a	ἀττικὸν] ἀθηναϊκόν Cant.2.
book 1176b	1176 p.i.m.] οἷον Ἀθηναῖοι ... (1) καὶ τυμπανῶδες ... βλέμμα Reg (cf. Th1/2Tr1 1176a et Tr2 1176d).
book 1176c	βλέπος] ἦθος Cant.2, ὅραμα Va.
book 1176d	ἀττικὸν βλέπος: ἤγουν βλέμμα καὶ ἦθος, οἷον οἱ ... τιτανῶ‐ δες· διαβάλλει ... θρασεῖς (2) καὶ ἑ‐ τοίμους προδήλως εἰς τὸ ἀδικεῖν.
book 1176d,c2	ἀττικὸν βλέπος: Vah ἀττικόν ... βλέπος ἤτοι h τὸ ἐπιχώριον Vah ... ἤγουν Va δριμὺ καὶ τιτανῶδες· διαβάλλει δὲ ὁ Ἀριστοφάνης h ... θρασεῖς (a2). τὸ δὲ βλέπος ἀντὶ τοῦ βλέμμα καὶ ὅρασις.
book 1178a	τὴν ἕνην ... νέαν] τὴν ἀρχιμηνίαν ... τὴν πλήρωσιν τοῦ μηνός Cr (ἔνην]), τὴν τελευταίαν ἡμέραν καὶ τὴν ἀρχιμηναίαν Cant.2, τὴν λʹ Lb τὴν ἀρχὴν καὶ τέλος Chalc τοῦ μηνός LbChalc, τὴν τριακάδα, τὴν νουμηνίαν h (ἔννην] Ho, ἔνην] b).
book 1178b	ὅτι ... (1) εὕρηται τὸ “ἕνη” ... (4/5) ὀφείλει γράφεσθαι καὶ δασύνεσθαι ... (6) διπλασιάζεται τὸ ν καὶ ψιλοῦται.
book 1179a	ἐνταῦθα ... (3/4) τῶν ἐφεξῆς ἡμερῶν καὶ ... αὔξησιν.
book 1179b	παίζει ... ἐρωτῶν “ἔστι(ν) τις Lb ἡμέρα μία καὶ ἡ αὐτὴ Lb ἕνη καὶ νέα τις Va;” ὥσπερ ἔλεγε παίζων “ὁ ἀλεκτρυὼν καὶ ἡ ἀλεκτρυών” Lb. παρακατιὼν δὲ ἐρεῖ ἀδύνατον μίαν καὶ τὴν αὐτὴν εἶναι ἡμέραν ἕνην καὶ νέαν, ὥσπερ οὐδὲ τὴν αὐτὴν καὶ μίαν γυναῖκα νέαν καὶ γραῦν Lb.
book 1179b,c2	“οὐ δυνατόν ἐστι τοῦτο, ὥσπερ οὐδὲ μία καὶ ἡ αὐτὴ γυνὴ γένοιτο ἐν ταὐτῷ γραῦς καὶ νέα” Va.
book 1179c	τοῦτο ἐρωτηματικῶς· “ἔστι τις ἡμέρα ἕνη καὶ νέα;” Ba(m2mrg.).
book 1179d	ἡμέρα] μία ἡμέρα δύο ὀνόματα ἔχουσα ChisReg.
book 1179e	Πλάτων περὶ τοῦ μὴ δεῖν δανείζεσθαι “τὴν δὲ τράπεζαν ἡ καλὴ Αὐλὶς ... (8) ἀργύρων ... (9) δυσχερές, ὡσπερεὶ οὐ καθ’ ... (10) οὐδὲ ἀναμνήσει ... (11) νεομηνίας ... καὶ στύγιον.
book 1180a	θήσειν] ἐπιθήσειν Chis, καταβαλέσθαι Cr, βαλεῖν l.
book 1180b	πρυτανεῖ’] ἐκταγάς ChisRegCant.2lChalcb, τὰ διδόμενα τοῖς δικά‐ ζουσιν Chis, ἀπὸ τοῦ πορῶ τὸ παρέχω Cr(nova etym., ut vid.).
book 1180c	πρυτανεῖον, καὶ πρυτανεῖα πληθυντικῶς. ἔστι μὲν οὖν Ba [δὲ] πρυτανεῖον ὁ τόπος, ἐν ᾧ οἱ πρυτάνεις συνερχόμενοι · ἦν δὲ ἀρχή τις. πρυτανεῖα δὲ πληθυντικῶς ἐνταῦθα καὶ τὸ δικαστήριον ἤτοι ὁ τόπος, ἐν ᾧ ἐδίκαζον, καὶ αὐτοὶ οἱ δικασταί· ἔτι δὲ καὶ αἱ εἰς τὸ δικαστήριον κλήσεις τῶν ἀντικρινομέ‐ νων h(mrg.).
book 1181a	θέντες] νομοθετήσαντες ChisRegCrCant.2l, ποιήσαντες Chalc, τὰ ὀνόματα Ba(m2).
book 1181b alpha	ἔσθ’ ὅπως] τρόπος ChisRegCant.2lChalch.
book 1181b beta	ὅπως] ὅτι Cr.
book 1182	μί’] ἡ ChisRegCrCant.2h(Ba eras., ut vid..).
book 1183a	πῶς γάρ] οὐχί Cr, γένοιτο l, γενήσεται Chalc.
book 1183b	μήπερ] μόνον Chalc.
book 1183c	ἅμα] ἐν ἑνὶ Chis τῷ αὐτῷ Reg καιρῷ ChisReg, ὁμοῦ Cant.2lChalch.
book 1184a	αὐτὴ] ἡ RegCrCant.2lb μία Cr ἡμέρα Cant.2 ὁμοία Lb γυνή Chalc (αὐτὴ etiam Th1/2Tr1/2).
book 1184b	διὰ τοῦτο παίζων ἔθηκε τὸ τῆς γυναικὸς παράδειγμα, διὰ τὸ ὡσανεὶ τὸ ὄνομα τῆς ἕνης ἀντὶ παλαιᾶς καταλογίζεσθαι καὶ ἀδύνατον εἶναι συνδραμεῖν ἐν τῷ αὐτῷ τό τε παλαιὸν καὶ τὸ νέον.
book 1184c	ἡ αὐτὴ καὶ μία γυνὴ ἐν τῷ αὐτῷ χρόνῳ γραῦς καὶ νέα Ca 2(mrg.).
book 1184d	ἕνη, ἡ ὑστέρα· νέα, ἡ πρώτη· ἀλλ’ οἱ κριταὶ τῶν Ἀθηναίων ἀπέ‐ δωκαν τῶν δύο ἡμερῶν τὰς κλήσεις μιᾷ ἡμέρᾳ. φασὶ γὰρ ἐν ἐκείνῃ τῇ ἡμέρᾳ ἀπογίνεσθαι τὴν σελήνην καὶ ἐν ταύτῃ πάλιν ἄρχεσθαι Ba(m2mrg.).
book 1185a	καὶ μὴν] ὡς ἐν συντόμῳ εἰπεῖν Cr, λοιπόν Va, τολοιπόν Chalc.
book 1185b	νενόμισταί γ’ [γε RegCr νενόμιστ’ Reg νενόμισται Cr]] νόμιμόν ἐστιν ChisReg ἡ ἕνη καὶ νέα Chis, νενομοθέτηται CrCant.2Chalc ἢ εἴωθε Chalc, ἀπὸ Lb ἐκ Va νόμου τέτακται l, ἀπὸ τοῦ νόμου ἐστί b.
book 1185c	καὶ μὴν νενόμισταί γε: ἤτοι [ἤγουν] ἀπὸ τοῦ Va νόμου τοῦ τοῦ Lb Σόλωνός ἐστι τεταγμένη ἡ ἕνη καὶ νέα Lb ἐτάχθη οὕτως καλεῖ‐ σθαι Va.
book 1186a	ὀρθῶς] ἀκριβῶς Chis(paraphr.; v. 1186—1205 glossis carent, v. 1206—1241 fere), ἀληθῶς Cr.
book 1186b	νοεῖ] βούλεται Chis(paraphr.)lChalch, δηλοῖ Cr (= sch.vet. 1186).
book 1187a	ὁ Σόλων] ὁ νομοθέτης (cf. sch.vet. 1187b) CrLbChalc τῶν Ἀθηναίων ἐκεῖνος Chalc.
book 1187b	φιλόδημος] ἀγαπῶν Chis(paraphr.) φιλῶν lChalch τὸν δῆμον Chis (paraphr.)lChalch.
book 1187c	φιλόδημος: ἤτοι φιλῶν τὸν δῆμον· πρὸς γὰρ λυσιτέλειαν μᾶλλον τοῦ δήμου ἀφορᾷ ἡ ὀνομασία τῆς ἕνης καὶ νέας Va(mrg.).
book 1188a	πω] ἀκμήν Cr, ἀκμή Chalc.
book 1188b	πρὸς] συμβάλλει Par(–άλειο cod.) Cr, συμβαίνει Cant.2, πλησιάζει Chalc.
book 1189a	γὰρ] οὖν (Cang) (γὰρ τὴν text.).
book 1189b	κλῆσιν] ὄνομα Chis(paraphr.), τὴν εἰς τὸ δικαστήριον εἰσαγωγήν Cr ἀπάντησιν Cant.2, ὀνομασίαν lb, πρόκλησιν Chalc.
book 1190a	ἔθηκεν] ἐνομοθέτησεν Cr.
book 1190b	τὴν ... νέαν] τὴν ἀρχιμηναίαν Cant.2, τὴν τελεσιαίαν ... τὴν ἀρχὴν Chalc, τὴν ὑστέραν ... τὴν πρώτην Ba(m2), ἤγουν εἰς τὴν λʹ καὶ εἰς τὴν λαʹ Ba(m3?).
book 1191a	αἱ θέσεις] αἱ καταβολαὶ τῶν τόκων (Th1/2Tr1/2 1191) ἢ Reg [τῶν πρυτανείων (sch.vet. 1191a) ἤγουν Chis] τῶν ἐκταγῶν Chis(paraphr.) Reg τῶν χρεῶν Lb(mrg.), αἱ κρίσεις Cr.
book 1191b	θέσεις αἱ δίκαι καὶ αἱ καταβολαὶ τῶν πρυτανείων, ἅπερ μισθὸς ἦν τῆς εἰσαγωγῆς τῆς δίκης· ἢ θέσεις τὰ δικαστήρια, παρὰ 〈τὸ〉 τοὺς δικαζομένους δραχμὴν τῷ δημοσίῳ διδόναι.
book 1191c	ἵν’ αἱ θέσεις γίγνοιντο: ὅπως ἂν αἱ καταβολαὶ καὶ ἀποδόσεις τῶν χρεῶν γίγνοιντο ἑκόντων τῶν ὀφειλόντων ἀποδιδόναι ταῦτα.
book 1191d	τῇ νουμηνίᾳ] ἐν Chalc τῇ πρώτῃ τοῦ μηνός Chis(paraphr.)Chalc, τῇ ἀρχιμηνίᾳ Par, ἐν lh τῇ ἀρχῇ τοῦ μηνός Cant.2LbhA(hic om. τῇ et τοῦ), ἤγουν τῇ λαʹ Ba(m3?).
book 1192a	ἵνα δὴ τί] διὰ ποίαν αἰτίαν Cant.2, διὰ lh τί Vah δέ h (ἵνα τί δὴ] lb).
book 1192b	μέλεε] ἄθλιε ParCrCant.2lChalch.
book 1193a	οἱ φεύγοντες] οἱ κατηγορούμενοι ἐν τοῖς δικαστηρίοις Va.
book 1193b	ἡμέρᾳ μιᾷ] κατὰ τὴν τριακοστήν Chis(paraphr.)Reg ἥτις ἐστὶν ἡ ἕνη κατὰ τὸν Σόλωνα Reg, δι’ ἡμέρας μιᾶς Lb, ἐν Vab.
book 1194a alpha	πρότερον] πρὸ τῆς νέας ἤγουν τῆς νουμηνίας Reg, πρὸ τῆς ἕνης καὶ νέας Lb.
book 1194a beta	πρότερον ἀπαλλάττοιντο ἑκουσίως δηλονότι ἀποδιδόντες τὰ κεχρεωστη‐ μένα h(mrg.).
book 1194b	ἀπαλλάττοινθ’] ἐλευθεροῖντο Chis(paraphr.) Cant.2lChalcb τῶν ἐκταγῶν Lb, τῆς δίκης ... ἀποδόσεως Reg (cf. 1194b Th2Tr1/2)
book 1194c	ἑκόντες] ἐθελουσίως CrVa, οἰκειοθελεῖς Cant.2.
book 1194d	εἰ δὲ μή] δικαίᾳ ἀποδώσουσι γνώμῃ Ho (cf. 1194c Th1/2Tr1), εἰ δὲ μὴ ἀποδώσουσι οἰκείᾳ γνώμῃ b (fere = 1194c Tr2).
book 1195	ἐν τῇ ἕνῃ καὶ νέᾳ ἐγίνοντο αἱ ἐγκλήσεις καὶ ἀπολογίαι Lb καὶ ἀποφάσεις, ἐν δὲ τῇ νουμηνίᾳ οὐκ ἄλλο τι ἢ τὸ πληροῦσθαι καὶ Lb τέλος λαμβάνειν τὰς ἀποφάσεις τῶν δικαστῶν l(mrg.).
book 1196a	τῇ νουμηνίᾳ] κατὰ τὴν πρώτην τοῦ μηνός Chis(paraphr.), τῇ ἀρχῇ τοῦ μηνός Cant.2, ἤγουν τῇ λαʹ Ba(m3?).
book 1196b	δέχονται] λαμβάνουσι ChisReg, ποιοῦσι h.
book 1196c	τῇ νουμηνίᾳ] τῇ λαʹ Ba(m3).
book 1196d	δῆτα] λοιπόν Cr.
book 1197a	ἀρχαὶ] οἱ βουλευταί Cant.2, αἱ lChalcb.
book 1197b	τὰ πρυτανεῖ’] τὰ χρήματα Cant.2, τὰς ἐγκλήσεις Lb.
book 1197c	ἀρχαὶ τὰ πρυτανεῖα: οἱ ἄρχοντες· ἐν τριακάδι σὺν τόκῳ· πρυτα‐ νεῖα δὲ τὰ διδόμενα ἀπὸ τῶν δικαζομένων τῷ δημοσίῳ ἀργυρίῳ.
book 1197d	ἕνη(–ῃ)] ἐν Vab (hic ἔν–]) τῇ Cant.2Vab ἔνῃ τε καὶ νέᾳ b ἤγουν τῇ λʹ Ba(m3?), ἡ Lb (etiam ad νέα) (ι subscr. in b solo (text. et gl.)).
book 1198a	προτένθης λέγεται ὁ λαίμαργος, κωμῳδεῖ οὖν [δὲ ἐνταῦθα] τοὺς Ἀθηναίους ἐπιτηδείως ὡς πλεονέκτας, διότι, εἰ ἀπὸ τῆς νουμηνίας ἤρχοντο αἱ ἐκταγαὶ καὶ αἱ κρίσεις, διὰ τί ἐν τῇ ἕνῃ καὶ νέᾳ ταύτας τοῖς δικαζομένοις προέλεγον; l
book 1198b	τένθης, λίχνος καὶ γαστρίμαργος· Αἰλιανός “τένθης καὶ ὀψοφάγος”· τένθειν δὲ τὸ ἐσθίειν.
book 1198c	δοκοῦσι] ὑπολαμβάνουσι Cr.
book 1198d	τὸ “παθεῖν” ἀόριστός ἐστι καὶ οὐ μέλλων, ὥς τινες οἴονται Reg (mrg.).
book 1199a alpha	ὡς τάχιστα] λίαν συντόμως Chis(paraphr.) Cant.2, λίαν ταχέως lChalcb (text. ἵν’ ὡς τ.).
book 1199a beta	τάχιστα] λίαν ταχέως Ho (text. ὅπως τ.).
book 1199b	τὰ πρυτανεῖ’] τὰς ἐκταγὰς ἤτοι τὰς δεκάτας (cf. sch.vet. 1136a) Chis(paraphr.; c.m. ἀπὸ τοῦ δεκάτου τὸ ἕν), τὰς κρίσεις, τὰς ἐγκλήσεις Lb.
book 1199c	ὑφελοίατο] λάβοιντο (–οιν ex?) Ba, λάβοιτο Harl.5, αἱ ἀρχαὶ ἤγουν οἱ κριταί Ba(m2).
book 1199d	ὑφελοίατο: ἕλω, ὁ μέλλων ἑλῶ· ὁ δεύτερος ἀόριστος εἷλον, ὁ μέσος εἱλόμην, καὶ τὸ εὐκτικὸν παθητικὸν ἑλοίμην, ἕλοιο, ἕλοιτο, τὸ τρίτον τῶν πληθυντικῶν ἕλοιντο καὶ ἰωνικῶς τροπῇ τοῦ ν εἰς α ἑλοίατο, καὶ μετὰ τῆς ὑπό προθέσεως καὶ ἐν συγκοπῇ ὑφελοίατο Cant.2(mrg.).
book 1199e	iuxta sch. 1199a Tr2 ordine mutato discerptum (des. ἐποίησε ... τὴν κατασκευήν, l. 4/5) Ba(m2) haec: ἡ μὲν πρότασις τὸ “ἵν’ ὡς τάχιστα τὰ πρυτανεῖα ὑφελοίατο, διὰ τοῦτο πρου‐ τένθησαν (sic) ἡμέρᾳ μιᾷ”, ἡ δὲ κατασκευὴ τὸ “ὅπερ οἱ προτένθαι γὰρ δοκοῦσί μοι παθεῖν”.
book 1200	προυτένθευσαν] προεθέσμευσαν Cant.2 (–θέσπ– cod.) (cf. sch. vet. 1200a), οἱ κριταί Ba(m2).
book 1201a	τὸ μὲν “εὖ” γε” πρὸς τὸν υἱὸν αὐτοῦ, τὸ δὲ “ὦ κακοδαίμονες” πρὸς τοὺς δανειστάς.
book 1201b	εὖ γ’] καλῶς ἔχει Chis(paraphr.)lb, ἕξει Chalc, γένοιτο ἐμοί Pa.
book 1201c	κακοδαίμονες] δανεισταί Chis(paraphr.), κακότυχοι Cant.2, ἄθλιοι Lb, κακοτυχεῖς Chalc, δυστυχεῖς Vah ἄνθρωποι Ho.
book 1201d	ἀβέλτεροι] μωροί Chis(paraphr.), μωρότεροι Lb.
book 1202a	ἡμέτερα] ἐμοῦ καὶ τοῦ υἱοῦ μου Cr.
book 1202b	τὸ “ἡμέτερα” πρὸς τὸ “σοφῶν” ὤφειλεν ἀποδοθῆναι, πρὸς δὲ τὸ “κέρδη” ἔτρεψε καὶ τὴν σύνταξιν ἐποίησε〈ν εἰς τὸ〉 “ἡμέτερα”. ἔστι δὲ τὸ σχῆμα τῶν Ἀττικῶν, ὡς τὸ παρ εʹ βουκό πτερώμ καὶ παρὰ Σοφοκλεῖ “νῦν δ’ ἐπὶ σκηναῖς ὁρῶ Αἴαντος”, καὶ παρὰ τῇ Θείᾳ Γραφῇ “ἄναξ, ὑπέσχες τοῦ ἡλίου σὸν αὐχένα”. κἀκεῖσε γᾶρ “σοῦ” ὤφειλε πρὸς τὸ “ἡλίου”, τρέπ〈ει δὲ〉 τοῦτο πρὸς τὸ⟦ν⟧ “αὐχένα”.
book 1202c	τῶν σοφῶν] τῶν ἐπιστημόνων Va.
book 1202d	ὄντες λίθοι] ὥσπερ l ἀναίσθητοι Lb (cf. sch.vet. 1202 = Th1/2 Tr1/2 1202b).
book 1203a	ἀριθμὸς] οὕτως ἐστὲ ἀριθμός Cr.
