Fragments on the Palici and Thebes
Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν
by Aeschylus the Tragedian
eul_wid: emo-ah    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on the Palici and Thebes is a modern scholarly designation for a collection of 1240 fragmentary passages attributed to the lost plays of Aeschylus. These fragments, drawn from approximately eighty lost tragedies in addition to his seven surviving works, are compiled in modern critical editions such as Stefan Radt’s Tragicorum Graecorum Fragmenta. The title references two distinct mythological cycles treated by Aeschylus: the Sicilian chthonic deities known as the Palici, and the stories of the Theban cycle. The fragments are preserved indirectly through quotations by later Greek authors such as Strabo and Athenaeus, through papyrus discoveries, and via ancient plot summaries.

Collectively, these fragments illustrate the vast thematic and geographical scope of Aeschylean drama. Inferred subjects from play titles and the fragmentary content include divine justice and retribution, the nature of chthonic powers and associated cult practices, foundational city myths and civic strife as seen in Theban narratives, and profound familial conflicts. The material is particularly significant for demonstrating the interplay between Athenian tragedy and the wider Greek world, especially in its engagement with Sicilian religious cult. These remnants are crucial for understanding the breadth of classical Athenian tragedy, the development and treatment of major mythological cycles, and the extensive influence of Aeschylus on subsequent literature.

Text
----

book 1*.1	τὸν μὲν
book 296**.2	Τροία δέδορκεν Ἕκτορος τύχης διαί
book 297	ἐν μανοστήμοις πέπλοις
book 298.1	ἐτονθόρυζε
book 298.2	ταῦρος 〈ὡσ〉 νεοσφαγής
book 299.1	οὔτοι μ’ ἄπειρον τῆσδε τῆς
book 299.2	προσῳδίας
book 300.1	γένος μὲν αἰνεῖν ἐκμαθὼν ἐπίσταμαι Αἰθιοπίδος γῆς, Νεῖλος ἔνθ’ ἑπτάρροος †γαῖαν† κυλίνδει
book 300.2	πνευμάτων ἐπομβρίᾳ, ἐν ᾗ πυρωπὸν ἥλ͜ιο͜ς ἐκλάμψας
book 300.3	φλόγα[ln_5]τήκει
book 300.4	πετραίαν
book 300.5	χιόνα· πᾶσα δ’ εὐθαλὴς Αἴγυπτος ἁγνοῦ νάματος
book 300.6	πληρουμένη
book 300.7	φερέσβιον Δήμητρος ἀντέλλει
book 300.8	στάχυν
book 301	ἀπάτης δικαίας οὐκ ἀποστατεῖ θεός
book 302.1	ψευδῶν δὲ καιρὸν ἔσθ’ ὅπου
book 302.2	τιμᾷ θεός
book 303	μὴ παρασπιστὴς ἐμοὶ μήτ’ ἐγγὺς εἴη (?)
book 305	τὸ ξυγγενὲς γὰρ καὶ φθονεῖν ἐπίσταται
book 306	διαβρέχεις τἀρτύματα
book 307	σφύρας δέχεσθαι κἀπιχαλκεύειν μύδρους ὡς ἀστενακτὶ θύννος ὣς ἠνείχετο ἄναυδος
book 308.1	τὸ σκαιὸν ὄμμα
book 308.2	παραβαλὼν θύννου δίκην
book 309	ἐγὼ δὲ χοῖρον καὶ μάλ’ εὐθηλούμενον τόνδ’ ἐν νοτοῦντι κριβάνῳ θήσω. τί γὰρ ὄψον γένοιτ’ ἂν ἀνδρὶ τοῦδε βέλτιον;
book 310.1	λευκός—τί δ’ οὐχί; —καὶ καλῶς ἠφευμένος ὁ χοῖρος· ἕψου μηδὲ λυπηθῇς
book 310.2	πυρί
book 311	θύσας δὲ χοῖρον τόνδε τῆς αὐτῆς ὑός, ἣ πολλά γ’ ἐν δόμοισιν εἴργασται κακά, δονοῦσα καὶ τρέπουσα τύρβ’ ἄνω κάτω
book 312.1	αἱ δ’ ἕπτ’ Ἄτλαντος
book 312.2	παῖδες ὠνομασμέναι
book 312.3	πατρὸς μέγιστον ἆθλον οὐρανοστεγῆ κλαίεσκον, ἔνθα νυκτέρων
book 312.4	φαντασμάτων ἔχουσι μορφὰς ἄπτεροι
book 312.5	Πελειάδες
book 313.1	χλιδῶν
book 313.2	τε πλόκαμος ὥστε
book 313.3	παρθένοις ἁβραῖς· ὅθεν καλεῖν Κουρῆτα λαὸν ᾔνεσαν
book 313a	Ἰωνικὴν × ῥῆξιν ἐκτείνας ⏑ –
book 314.1	εἴτ’ οὖν
book 314.2	σοφιστὴς †καλὰ† παραπαίων χέλυν
book 315.1	τῷ πονοῦντι δ’ ἐκ θεῶν ὀφείλεται τέκνωμα
book 315.2	τοῦ πόνου κλέος
book 316	ἀλλ’ ἔστι κἀμοὶ κλῂς ἐπὶ γλώσσῃ φύλαξ
book 317?.1	οἴκοι μένειν
book 317?.2	χρὴ τὸν καλῶς εὐδαίμονα {καὶ τὸν κακῶς
book 317?.3	πράσσοντα καὶ τοῦτον μένειν}
book 317a	ν]εότικτα δ’ ὑπὸ μ̣ηρο̣[ (]σ̣ι κορων̣[ ?)
book 318	τοσαῦτα, κῆρυξ, ἐξ ἐμοῦ διάρτασον
book 319	†τουν† ἀσαλὴς θεόθεν μανία
book 320	θετὸς υἱός
book 321	θινὸς †ἐμβολὰς ἁλός†
book 322.1	× – κάπηλα
book 322.2	προσφέρων
book 322.3	τεχνήματα
book 323.1	νεοκρᾶτες
book 323.2	σπονδαί(?)
book 324	ἐν διρρυμίᾳ πῶλοι
book 325	μάχλον (ἄμπελον)
book 327.1	πρὶν ἂν
book 327.2	παλαγμοῖς αἵματος
book 327.3	χοιροκτόνου αὐτός
book 327.4	σε χράνῃ Ζεὺς καταστάξας
book 327.5	χεροῖν
book 328.1	Αἰθίοπα
book 328.2	φωνήν
book 329.1	πότερα γυνή τις Αἰθίοψ
book 329.2	φανήσεται;
book 330	λεοντόχορτον βούβαλιν νεαίρετον
book 331	ὡς λέγει γέρον γράμμα
book 331a	[ ? α[ .[
book 332.1	ἔλα, δίωκε μή τι μαλκίων
book 332.2	ποδί
book 332a	τὸ λαμπρὸν [.....] †δοθερμοναθ’† ἥλιον θάλποντα κἀκ̣χέ̣ο̣[ν]τα βλαστημὸν θέρος
book 334	ἄειλα (πεδία?)
book 335.1	ἄνω
book 335.2	ποταμῶν
book 336	ἄχνη (πυρός) i.e. καπνός
book 337	ἀπτῆνα, τυτθόν, ἄρτι γυμνὸν ὀστράκων
book 338	ὀπισθοβριθὲς ἔγχος
book 339	†ὑποσκεπόν† χέρα
book 339a	ἀκμὴν δ’ ὅσα τὰ κύμβαλ’ ἠχεῖ
book 341	ὁ κισσεὺς Ἀπόλλων, ὁ βακχειόμαντις
book 342	δέσποινα νύμφη, δυσχίμων ὀρῶν ἄναξ
book 346.1	ζεῦγος
book 346.2	τεθρίππων
book 347.1	ναρᾶς
book 347.2	τε Δίρκης
book 348	ἄτεγκτος – × – παρηγορήμασιν
book 349	μὴ κακοῖς ἰῶ κακά
book 350.1	[spk_θετις]ΘΕΤΙΣ· Apollo in nuptiis meis cecinit τὰς ἐμὰς εὐπαιδίας νόσων τ’ ἀπείρους καὶ μακραίωνας βίου, ξύμπαντά τ’ εἰπὼν θεοφιλεῖς ἐμὰς τύχας
book 350.2	παιῶν’ ἐπηυφήμησεν εὐθυμῶν ἐμέ.[ln_5]κἀγὼ τὸ Φοίβου θεῖον ἀψευδὲς
book 350.3	στόμα ἤλπιζον εἶναι, μαντικῇ βρύον τέχνῃ· ὁ δ’ αὐτὸς ὑμνῶν, αὐτὸς ἐν θοίνῃ παρών, αὐτὸς τάδ’ εἰπών, αὐτός ἐστιν ὁ κτανὼν τὸν
book 350.4	παῖδα τὸν ἐμόν
book 351	(ὅ τι) νῦν ἦλθ’ ἐπὶ στόμα
book 352.1	θάρσει· πόνου γὰρ ἄκρον οὐκ ἔχει
book 352.2	χρόνον
book 353.1	ὡς οὐ δικαίως θάνατον ἔχθουσιν βροτοί· ὅσπερ μέγιστον ῥῦμα τῶν
book 353.2	πολλῶν κακῶν
book 353a	βριθὺς ὁπλιτοπάλας, δάϊος ἀντιπάλοισι
book 354.1	ἀποπτύξαι δεῖ καὶ καθήρασθαι
book 354.2	στόμα
book 355.1	○○ μειξοβόαν
book 355.2	πρέπει διθύραμβον ὁμαρτεῖν σύγκωμον Διονύσῳ
book 356	λαβὼν γὰρ αὐτόθηκτον Εὐβοικὸν ξίφος
book 357.1	(φλόξ) ὑψηλὸν ἡβήσασα
book 357.2	τεκτόνων πόνον devasta(vi)t
book 358	σὺ δέξ’ ἄπω[θεν] αὐτόν· οὐ γὰρ ἐγγύθεν [βαλεῖς·] γέρων δὲ γραμματεὺς γενοῦ σαφής
book 359	σύ τοί μ’ ἔφυσας, σύ με καθαιρήσειν δοκεῖς
book 360.1	παύσυβριν δίκην
book 360.2	πυρός (i.e. aquam)
book 361	ἐξ ὀσφυαλγοῦς κὠδυνοσπάδος λυγροῦ γέροντος in iuvenem valentem mutatus
book 362.1	ἀλλ’ οὔτε
book 362.2	πολλὰ τραύματ’ ἐν
book 362.3	στέρνοις λαβὼν θνῄσκει
book 362.4	τις, εἰ μὴ τέρμα ξυντρέχοι βίου, οὔτ’ ἐν
book 362.5	στέγῃ τις ἥμενος
book 362.6	παρ’ ἑστίᾳ φεύγει
book 362.7	τι μᾶλλον τὸν
book 362.8	πεπρωμένον μόρον
book 363	ὀξυγλύκειάν τἆρα κοκκιεῖς ῥόαν
book 364.1	Λιβυρνικῆς μίμημα μανδύης
book 364.2	χιτών
book 365.1	σὺ δὲ σπαθητοῖς
book 365.2	τριμιτίνοις ὑφάσμασιν
book 366	λοῦταί γε μὲν δὴ λουτρὸν οὐ τὸ δεύτερον, ἀλλ’ ἐκ μεγίστων εὐμαρῶς λουτηρίων
book 367.1	ὀστέων
book 367.2	στέγαστρον
book 369.1	ἐκ
book 369.2	πηλοπλάστου
book 369.3	σπέρματος θνητὴ γυνή (sc. Pandora)
book 370	μελανοστέρφων γένος ?
book 371	Κραναά
book 372	ἀφρὸς βορᾶς βροτείας ἐρρύη κατὰ στόμα
book 373.1	δεινοὶ πλέκειν
book 373.2	τοι μηχανὰς Αἰγύπτιοι
book 374	οὕνεκ’ ἐκεῖ ἄνθεα λειμώνια (?)
book 375	ἀμήχανον τέχνημα καὶ δυσέκδυτον
book 378	σπίδιον μῆκος ὁδοῦ
book 379	(ad feminas [Chori, ut vid.]) ὑμεῖς δὲ βωμὸν τόνδε καὶ πυρὸς σέλας κύκλῳ περίστητ’ ἐν λόχῳ τ’ ἀπείρονι εὔξασθε
book 381.1	ὅπου γὰρ ἰσχὺς
book 381.2	συζυγοῦσι καὶ δίκη, ποία ξυνωρὶς τῶνδε καρτερωτέρα;
book 382	πάτερ Θέοινε, μαινάδων ζευκτήριε
book 383.1	Ἥρα
book 383.2	τελεία, Ζηνὸς εὐναία δάμαρ
book 384	ἐναγώνιε Μαίας καὶ Διὸς Ἑρμᾶ
book 385.1	οἵ τοι
book 385.2	στεναγμοὶ τῶν πόνων ἐρείσματα
book 386.1	λαμπραῖσιν ἀστραπαῖσι λαμπάδων
book 386.2	σθένει (de facibus sacris Eleusiniis)
book 387	ἔφριξ’· ἐρῶ δὲ τοῦδε μυστικοῦ τέλους
book 387a.1	ἐπῇμεν τῆς ὁδοῦ τροχήλατον
book 387a.2	σχιστῆς κελεύθου
book 387a.3	τρίοδον, ἔνθα ξυμβολὰς
book 387a.4	τριῶν κελεύθων
book 387a.5	Ποτνιάδας ἠμείβομεν
book 388.1	[spk_chorus]ΧΟ. δέσποιν’ Ἑκάτη, τῶν βασιλείων
book 388.2	πρόδομος μελάθρων
book 389	κοινὸν τύχη, γνώμη δὲ τῶν κεκτημένων
book 390.1	ὁ χρήσιμ’ εἰδώς, οὐχ ὁ πόλλ’ εἰδὼς
book 390.2	σοφός
book 391.1	ἁμαρτάνει
book 391.2	τοι καὶ σοφοῦ σοφώτερος
book 392	ἦ βαρὺ φόρημ’ ἄνθρωπος εὐτυχῶν ἄφρων
book 393.1	κάτοπτρον εἴδους
book 393.2	χαλκός ἐστ’, οἶνος δὲ νοῦ
book 394	οὐκ ἀνδρὸς ὅρκοι πίστις, ἀλλ’ ὅρκων ἀνήρ
book 395.1	φιλεῖ δὲ τῷ κάμνοντι
book 395.2	συσπεύδειν θεός
book 396.1	καλὸν δὲ καὶ γέροντι μανθάνειν
book 396.2	σοφά
book 397.1	πρὸ τῶν
book 397.2	τοιούτων
book 397.3	χρὴ λόγων δάκνειν
book 397.4	στόμα
book 398	κακοὶ γὰρ εὖ πράσσοντες οὐκ ἀνασχετοί
book 399.1	τὸ γὰρ βρότειον
book 399.2	σπέρμ’ ἐφήμερα
book 399.3	φρονεῖ, καὶ πιστὸν οὐδὲν μᾶλλον ἢ καπνοῦ σκιά
book 400	γῆρας γὰρ ἥβης ἐστὶν ἐνδικώτερον
book 402	(terrae motibus Sicilia a continente abrupta est) × – ἀφ’ οὗ δὴ Ῥήγιον κικλήσκεται
book 402a	Κύπρου Πάφου τ’ ἔχουσα πάντα κλῆρον
book 404.1	Αἴγινα δ’ αὕτη
book 404.2	πρὸς νότου κεῖται
book 404.3	πνοάς
book 406	ἁγησίλαος (sc. Ἅιδης)
book 407a	ἀιδνόν
book 408	Αἴνηθος
book 409	ἀλαβαστροφόρος
book 410	ἀλεός
book 411	ἀλκάθειν
book 411a	ἀμυνάνδρως
book 411b	ἄμυντρον
book 412	Ἄμφις
book 414	ἀπαίρειν (de itinere)
book 415	ἀπέλ(λ)ητοι
book 415a	ἀπήνθισται (?)
book 415b	ἀριδάκρυτος (?)
book 416	ἀρχῆθεν
book 417	ἆξαι
book 418	ἀσχαδές
book 419	αὐλών (= τάφρος)
book 419a?	αὐλών (= πυρά)
book 420	αὖρι (= ταχέως)
book 420a	αὐτοκῆρυξ
book 420b	ἁφάζει
book 421	βοῦ
book 422	γρυπαίετος (χαλκήλατος ἐπ’ ἀσπίδος ἐπών)
book 423	ἐδανοῖς
book 424	εἰλαπίναι
book 424a	ἐμμέλεια (de saltatione satyrica dictum)
book 424b	ἐνῴδια
book 425	ᾐόνησας
book 426	ἠριγένεια (de leaena)
book 427	†ἴττυγα†
book 428	καταφαγᾶς
book 429	†κεχρηματεῖσθαι†
book 429a	κηδεία
book 430	κραταίπιλος
book 431	Κυνοκέφαλοι
book 432	κυντερώτατα (vel –ώτερα) vel κυντατώτατα
book 433	λάμπουρις
book 434	μειζονώτερος
book 434a	Μονόμματοι
book 434b	ναῦλα
book 435	ὀμείχματα
book 435a	ὀργάζειν (= παίοντα ἐξελαύνειν καὶ μαλάττειν)
book 436	οὐρανιζέτω
book 437	πάλμυδος
book 438	πεφρασμένος
book 439	πρέψαι
book 439a	Σκάμανδρος
book 440	στέμβω
book 441	Στερνόφθαλμοι
book 442	στόμις
book 443	σχελίδες
book 444	τραγέλαφος
book 445	τρίσζωος
book 445a**	ὑπερτερώτερος
book 446	Φρύγες (= Troiani) vel/et Φρυγία (= Troia)
book 447	φυξίμηλα
book 448	χαλιμάδες (= Βάκχαι)
book 449	χειμάμυνα
book 450(?)	χελιδονίζειν (= βαρβαρίζειν)
book 451	ψιλῆτ(ος)
book 451b.1	μενουμ[ ]ˈμιαναρα[ ]ˈη
book 451b.2	Τρικορυ̣[ ]ˈ ὅτι
book 451b.3	τονδ̣ [ ]ˈτον κω[ ]ˈταδ’ Ἑρμι[ππ ]ˈδε τὴν ἀρχ[ὴν Αἰ]ˈσχύλου.
book 451c**.1	[].ρ̣οτε[...]υ.[.]ν̣.[.]ο̣[...].ους [.].θ.[.].εφα̣..νωδ’ ἔχειν .[.].[..]...[..]βεβ.κ.ς ..[...].....[.].ους[ln_5]...[.]...[..]...[.].βα.[ ι̣....ο̣.[.]ω̣ν..ρα. ...[..]. ὄ...νοσαρ̣.αν .ᾶ̣ι̣..ε̣.ς...υθιαν κόρυν [..].[.]ο̣σε̣ι̣π̣..η
book 451c**.2	φλ̣έγων[ln_10]].π̣ε̣δοθεν ὀμματων̣[ ⸏[..]..οσε[.].ορεσιν λ̣έγειν[ .[.]...γ̣..π̣.. εὐμέτ̣ροισ[ ].[..].[.]η̣π̣α̣[.]ν̣α̣σο.[ ].ας.....η.ειν[ln_15]]δαισ[.]..ν̣οφορον [para]].νε̣ι̣..α σ̣[ε]βιζ̣[.]ν ].οισπ.[.]κ̣ρο̣ύεις ].α̣...[.]...γαν ]νι̣ν[..]ω βρ[ο]τοὺς[ln_20]] ]ς ἄκαιρα μωμένους ]ν̣ικ̣ον
book 451c**.3	πνέων [ ].δε[..] ]ων π[´̣]λε[.][ln_25]]...[.]ι̣ζυ̣ν [para]]....[...]῀̣ιατ’ ἐπιπεμπ[ ].ξ̣.....[.]ενων δι̣αι ]υμ.....[.] κ̣ομπολύραν [para]]α κο[.].[.]....ακ̣χον[ln_30][.]κ̣ά.....[.].λ̣’ ἀ̣λ̣αλαγμόν· Ἐ]νυαλίου μ.[.].....αλεγε̣ι̣ς [ ]ρανοτ[.]μοι.[.].ο̣ισι ο[.].οπλο̣..ο̣[.]ς εὔ‐ σπλ̣αγχνος [.].ʼ̣ ἐφιππ.[[ln_35]φεύ̣ξεται̣ προσβολάς· κύ̣..ις ὡς γε̣[ δέξεται δ̣ὲ̣ γ̣ᾶ νι̣ν ἀλλό̣[
book 451d**	...[ln_1][ ]...[.]εμελπ̣ο̣μ̣α̣[ [].[...]..[..]κοισινεν.[ [].φ̣...ραφ[.]λον γεν̣.ια[ []υ̣..υδ̣εῖτό μ̣’ ἄλλ’ εὐπραξ[[ln_5][ ]ν̣τομοι..νδεσιε.ο̣ν̣[ [].[..]νελθουσιν μα..[.].[
book 451e**.1	...[ln_1][ ὄτ]οβον ω[ [ ]πνευμα̣[ [ ]σχαλει.[ [ ].εται μέ[[ln_5][ ].αιτησδ̣.[ [ ].οισδ̣ε̣[ [ ]α̣ς Ἀσιαδ[ [ ].....[ [ ]ασ̣εῖτ’ .[[ln_10][ ]ι̣σειχε.[ [ ]δ̣εν
book 451e**.2	χαλ[ [].μο̣.ξευ.[ ⸏ἀ]ντί̣ψ̣αλμος̣ [ []ης δοῦπο[[ln_15][ ]νται θυμ[ [ ]ονουσιν̣[ [ ] [ [ ]ε̣.π̣[[ln_18]...
book 451f**	...
book 451f**	[ln_1][spk_α]Α. ]ο̣[ ἤισ]χ̣υνα̣ς [ αὐδῶ φρο̣[νεῖν μὴ νηπια[
book 451f**.1	[ln_5][spk_β]ὡς ἥδε μα.[ ⸏πομπῇ δ’ α[ Β. .[ πειθε[ σ̣υ̣ν̣ε̣στ[.]ι̣α.[[ln_10]μηδ’ ει.ον[ ἀλλ’ ἐμφανη[ Ἥρα κατει[.]α[ ἥκει· λέγει δ̣[ εὐνας
book 451f**.2	τελε[[ln_15].[.]ς.ως γεν[ ´̣.]δετουπ̣ν[ κ̣αί σοι
book 451f**.3	παραι[ν ..[.]..στομη̣[ .]..[.]ειν· το.[[ln_20]....(.)]διδαχθ̣[
book 451g**,a.1	[spk_χ̣(ο.)]Χ̣(Ο.) ἄ]γε δὴ βασιλεῦ [ καὶ ξύμπασαν μ[ τοῦ βαθυπλουτο[ π̣ενίας ναίων κ[[ln_5]..].ι̣κην
book 451g**,a.2	σκηπτ.[ [ ]αμε[..].φ̣.[ [ ]δεπρ.[ [ ]νάζομ[ [ ]..[..]σ[[ln_10][ ]δ’ α[ [ ].υ[[ln_11]...
book 451g**,b	...[ln_1][]επῳδο[ []ειανο̣κ̣λε[ [ ].[[ln_3]...
book 451h**.1	...[ln_1]χειρ.[ ἰδὲ γάρ, ὦ Ζ[εῦ] ξέ[νιε] ν[..].[ τ]ὸν ξενοδ̣όκον κατασκ̣[ .. ἐ]στιν χάρις̣ ἐ̣ν θ̣[εο]ῖ̣ς[ln_5][ ]..[.]σι
book 451h**.2	τοῖς δικαίοις. τ̣οίγαρ κ[ατα]π̣ρι̣σσ̣ο̣μ[ κόμας [ἀ]φ̣ε̣ιδεῖ χε.[ τόδ’ ἄνα̣[υ]λον βρέγμαπ̣.[..].[ δυρομ̣[έν]α̣ σὸν πότμον γό[οις[ln_10]τό̣δε γὰ[ρ .....]...ειν
book 451h**.3	παρωσ̣[ πρ̣[..].[ ca. 10 litt. ]ρμου λιμ[ ε.[ ca. 12 litt. ].ει ⸏τ̣.[ ca. 11 litt. ].μα̣ι ] [ ][ln_14]...
book 451i**	...[ln_1][ ]οσον[ [].λο̣[.]τ̣όδε πάθο̣ς̣ [ἐ]πέζεσεν [ ]οφλεγε̣ς[ln_5][]ατον αὐτόμαργον [ []εον· ἰὼ παῖ []ρ̣ τέκνον τ.[.].ε.[ []τω θαμ̣[ί]ζ̣ει̣[ []φίλοις μελη[.].[[ln_10]ἀ]ντίφαντος α.[ []πυρ[.]σπ[.]οσ[ [].αν[ []ος.[[ln_13]...
book 451k**,a.1	[ ]εν εὐ̣χαῖς̣ πρῶτα
book 451k**,a.2	πρε̣σ̣β̣ε̣ύ̣ων
book 451k**,a.3	σεβ[ × – ἱ]κν̣οῦμ̣αι φ̣έγγ̣[ος] ἡλίου̣ τ̣ὸ νῦ̣ν [ αμ]εῖψαι ξὺ[ν] τύχαις ε̣ὐ̣ημέρ[οις [ ]..[.] Ἑλλ̣ά̣δος λοχαγέταις[ln_5][ Με]ν̣έλεῳ τὴν βίαιον ἁρπαγὴν [ ]π̣ρ̣ά̣σσουσι Π̣ρ̣[ι]α̣μ̣[ί]δη̣ν̣ Πάριν̣ [ ]ς εὐμενῆ σ̣υνα̣[λ]λ̣[α]γήν· [ ].π̣ω̣[.].μ̣επ̣αμυ[.´̣.....].[ [ ]....φη̣σ̣[[ln_10][]π̣[[ln_10]...
book 451k**,b	...[ln_1][ ].ονος̣ [].....ω̣ϊκον [].τοῦ θεοῦ
book 451l**.1	[ ]....[ [ ]εν̣...[ [ ]ως δ’ αν[ [ ].μαχον.[[ln_5][ ].ολ[ [ ].μενα̣ιτ.[ [ ]α̣ τῆς ἀληθ[ [ ]εσμονε[ [ ]ῶν φῦλον [[ln_10][ ]ησδ’ αιων.[ [ ]δ̣α̣φι̣ππ̣[ [ ]ρ̣ιαμεσυμ[ [μ]ακεδνὸς α̣[ [ ]λ̣οιτανευ.[[ln_15][]. θῆρες ο̣ιδ[ []ακοντεσε[ κ]ρεοβότουσ̣[ [ ]ς̣ δρᾶν
book 451l**.2	τε κα[ [ ]ο̣πτεροισιν[[ln_20][ ]ν βίοτον εμ[ [ ]τοδεφερε.[ [ ] θάλαμον .[ [ ]δες εὔτολ[μ [ ]αφιλήτω.[[ln_25][]σ̣δε
book 451l**.3	Τευκρίδ[ [].δα
book 451l**.4	πλατιδ.[ [ ].(.)θ̣ενη̣[[ln_27]...
book 451m**,1	...[ln_1][ ]χθ.[.]ηρας [ ]αν ἑκάστῳ [ ]ν []οτον τόνδ’ ἐφεπουσ[[ln_5][ ]ομιση [ ] [ ] Πηλεὺς δεμ[[ln_7]...
book 451m**,2	...[ln_1][ ].ον̣[ [ ]σ̣αν[ [ ]νδατ̣[ [].ευσθ̣[[ln_5][ ]ι̣δοτω[ [ ].σκ’ [ [ ]π̣αι[ [ ]οντε[ [ ]σαμεμ̣[[ln_9]...
book 451m**,3	...[ln_1][ ]..[ [ ]ας.[ [ ].νπα[ []εδρασον[[ln_5][ ].ο̣ν.[ [ ].υ.[ [ ].[[ln_7]...
book 451m**,4	]τουθο̣[[ln_1]...
book 451m**,5	...[ln_1]φ̣[ μ[ δ[ κ[[ln_5]τ̣ο̣[ ***[ln_12]⸏στε[ συν[ εικα[[ln_15]λογο[ κηρ[ ὃς δ[[ln_17]...
book 451m**,6,1.1	...[ln_1][ ].δ̣[ [ ].α[ ]α̣στραβ[ [ ]...[ ]τ̣οτη[ [].[.]σ̣το̣[ ].σιμμ.[ln_5][ ].ο̣δεα...[ [ ].α[...]ος ἐλήφ[θ]η̣ [ ]σ̣α̣μ̣ε̣να
book 451m**,6,1.2	σοφά
book 451m**,6,2	...[ln_1]].[ α.ο̣[ διδ.[ ⸏ἀελλ[[ln_5]τεκν[
book 451m**,7.1	...[ln_1][ ].[ [ ]..ν̣ο̣ν̣ [ ]π̣λ̣οκης [].ρο̣σ̣αστ.χος[ln_5][].σε̣ρεις· [ ] [].... [ ].ι
book 451m**,7.2	συλλαβ.ν [ ]....[ln_9]...
book 451m**,8	...[ln_1][ ]..[ [ ]αρες.[ [ ]νοντ̣.[ [ ]ω̣δεπ[[ln_5][].πονε̣[ []λας καθ̣[ [ ]..[[ln_7]...
book 451m**,9	...[ln_1][] [ [ ]λα[ []αλλιπ[ [ ]ρομ[[ln_5][]οπν̣.[ []καδμ[ [].εφο[[ln_7]...
book 451m**,10.1	...[ln_1][ ].π̣[ [ ]ει
book 451m**,10.2	προ.[ ἐ]κ δ’ ἱκέσθαι
book 451m**,10.3	φασὶ [ [ ]..[..]εκτημα.[[ln_5][ ]..[.]...[[ln_5]...
book 451m**,11,1	...[ln_1][ ]β̣.[ [ ]α̣λμ.[ [ ]δελφ.[ [ ]σαιν[ln_5][ ]ξ̣αγω̣ [ ].ες. [ ]αι. [ ].άμη [ ]μαχ.[ln_10][]αλλω[ []λ̣λουτ̣[ [ ]..[[ln_12]...
book 451m**,11,2	...[ln_1].[ Χ[ [ ου[.].[[ln_5]⸏οὐδ’ ἀμφ.[ [ ε[ ε[ σο̣[
book 451m**,12-13	= F 25d
book 451m**,14.1	...[ln_1][ ]ι̣μη̣[ [ ]αζει βοτ.[ []σ̣βολη δε̣β̣[ [ ]σανη[[ln_5][ ]αδεσβ..[ [ ]υ̣νεκβοτ̣[ [ ]ηλοχον[ [ ] [ ][ln_10][ ]πλ[ [ ] [ ]στρα[ [ ]α̣γ̣μ̣.[ [ ].ταδα[[ln_15][ ]ς [ ] [ ]στ̣ο̣..[ [ ] [ ]πον[ln_20][ ].αι
book 451m**,14.2	χθο[ [ ] [ ] [ ] [ ]ν̣[ln_24]...
book 451m**,15.1	...[ln_1][ ]π̣.[ [ ´̣]ει.[ [ ].π̣ι̣.[ [ ].’ ἄρσ̣ε̣[ν[ln_5][ ]..εν[ [ ].επακ[ [ ].[.].ί̣[ []ν
book 451m**,15.2	Στύγιο[ [ ]ισινα̣δ̣’ [[ln_9]...
book 451m**,16	vacat
book 451m**,17	...[ln_1][ ]β̣..[ ...] ξ̣υλλαβ..[ ἦ γάρ̣ τι θεῖον [ ⸏.]αινε̣ι δ̣ολω[[ln_5]οιδ̣..[..].[.].[[ln_5]...
book 451m**,18	...[ln_1]⸏ατρ.[ ὅπως [ ειμεν.[ μόνον [[ln_5]ελ̣ω[[ln_5]...
book 451m**,19	...[ln_1][ ]σ̣τα.[ []ω̣ταμη̣δα̣[ [ ]προμαν[ []τ̣ηριοι..[[ln_5][].ταινια[
book 451m**,20	= F 47c
book 451m**,21	= F 47b
book 451m**,22	...[ln_1][ ].ω̣[ [ ]μην̣[ [ ].η̣ρ.[ []οσπ.[[ln_5][].αικαπ.[..].[ [ ].λαιων ἑδ[ [ ]α̣τ’ ε[ [ ].υρ.[[ln_8]...
book 451m**,23.1	...[ln_1][ ]π̣ε̣...[ [ ]υτ̣ατ̣[.]υ.[ [ ].ξο̣π[ [ ]σιον μ[[ln_5][].πω
book 451m**,23.2	πλ̣.[ [ ]σταδαν[ [ ]σταλη[ [ ]νπερ̣[ [ ]πλαγχ[[ln_10][ ].νεοντ̣[ [ ]ειν
book 451m**,23.3	ταμ[ [ ]ηντο.[ [ ]ους· γυν[ [ ].οπαδο̣[
book 451m**,24	...[ln_1][ ]κο[ [ ]τυς̣..[ [ ]σ̣σαλατ.[ [ ]ν̣αυτω[[ln_5][ ἀν]άγκη κα[ [] ξυ̣ν̣ο̣ικει[ []ν γέρασ̣[ []νη̣τα[ [ ] ἀελπ[τ[ln_10][].ολλα[ [ ]ρασε̣[ [ ].ονπ̣[[ln_12]...
book 451m**,25	...[ln_1]ν[ τ[ ⸏ο.[ αγ̣[[ln_5]τᾶ.[ τε.[ κ̣[[ln_7]...
book 451m**,26.1	...[ln_1][]μαι.[ []σ̣τάδα..[ [] διακτορο[ [].ει
book 451m**,26.2	πε̣μ̣π̣[[ln_5][ ]⏑´[[ln_5]...
